,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
5193,スカイコート新宿新都心,賃貸マンション,東京都新宿区西新宿８,東京メトロ丸ノ内線/西新宿駅 歩3分,都営大江戸線/都庁前駅 歩9分,ＪＲ山手線/新宿駅 歩12分,築19年,9階建,9階,8.8万円,10500円,-/8.8万円/-/-,1K,19.71m
5194,カーサ・フィオーレ,賃貸アパート,東京都新宿区四谷坂町,ＪＲ中央線/四ツ谷駅 歩5分,東京メトロ有楽町線/市ヶ谷駅 歩8分,都営新宿線/曙橋駅 歩9分,築6年,2階建,1階,9.3万円,5540円,9.3万円/9.3万円/-/-,1K,25.41m
5195,ＪＲ総武線 四ツ谷駅 2階建 築6年,賃貸アパート,東京都新宿区坂町,ＪＲ総武線/四ツ谷駅 歩5分,東京メトロ有楽町線/市ヶ谷駅 歩8分,東京メトロ丸ノ内線/四谷三丁目駅 歩15分,築6年,2階建,1階,9.3万円,5540円,9.3万円/9.3万円/-/-,1K,25.41m
5196,カーサ・フィオーレ,賃貸アパート,東京都新宿区坂町,ＪＲ中央線/四ツ谷駅 歩5分,東京メトロ有楽町線/市ヶ谷駅 歩8分,都営新宿線/曙橋駅 歩10分,築6年,2階建,1階,9.3万円,5540円,9.3万円/9.3万円/-/-,1K,25.41m
5197,ＪＲ中央線 四ツ谷駅 2階建 築6年,賃貸アパート,東京都新宿区四谷坂町,ＪＲ中央線/四ツ谷駅 歩5分,東京メトロ有楽町線/市ヶ谷駅 歩8分,東京メトロ丸ノ内線/四谷三丁目駅 歩12分,築6年,2階建,1階,9.3万円,5540円,9.3万円/9.3万円/-/-,1K,25.41m
5198,都営大江戸線 落合南長崎駅 4階建 築46年,賃貸マンション,東京都新宿区西落合３,都営大江戸線/落合南長崎駅 歩2分,西武新宿線/中井駅 歩16分,西武池袋線/東長崎駅 歩11分,築46年,4階建,2階,9.6万円,3000円,9.6万円/-/-/-,2DK,50.81m
5199,西落合ハウス,賃貸マンション,東京都新宿区西落合３,都営大江戸線/落合南長崎駅 歩2分,西武池袋線/東長崎駅 歩10分,西武新宿線/中井駅 歩13分,築46年,4階建,2階,9.6万円,3000円,9.6万円/-/-/-,2DK,50.81m
5200,東京メトロ丸ノ内線 四谷三丁目駅 2階建 築58年,賃貸アパート,東京都新宿区舟町,東京メトロ丸ノ内線/四谷三丁目駅 歩2分,都営新宿線/曙橋駅 歩5分,None,築58年,2階建,1階,9.9万円,-,9.9万円/9.9万円/-/-,1LDK,41.4m
5201,塚田荘,賃貸アパート,東京都新宿区舟町,東京メトロ丸ノ内線/四谷三丁目駅 歩2分,都営新宿線/曙橋駅 歩5分,東京メトロ丸ノ内線/四ツ谷駅 歩12分,築58年,2階建,1階,9.9万円,-,9.9万円/9.9万円/-/-,1LDK,40m
5202,東京メトロ東西線 早稲田駅 5階建 築41年,賃貸マンション,東京都新宿区早稲田鶴巻町,東京メトロ東西線/早稲田駅 歩6分,東京メトロ有楽町線/江戸川橋駅 歩7分,None,築41年,5階建,4階,9.3万円,6000円,-/-/-/-,2DK,38m
5203,プルミエール飯田橋,賃貸マンション,東京都新宿区新小川町,東京メトロ有楽町線/飯田橋駅 歩4分,東京メトロ東西線/神楽坂駅 歩10分,都営大江戸線/牛込神楽坂駅 歩12分,築7年,3階建,3階,9.9万円,-,9.9万円/9.9万円/-/-,1K,25.74m
5204,プルミエール飯田橋,賃貸マンション,東京都新宿区新小川町,東京メトロ有楽町線/飯田橋駅 歩4分,東京メトロ東西線/神楽坂駅 歩10分,都営大江戸線/牛込神楽坂駅 歩12分,築7年,3階建,1階,12.3万円,-,12.3万円/12.3万円/-/-,1DK,33.2m
5205,プルミエール飯田橋,賃貸マンション,東京都新宿区新小川町,東京メトロ有楽町線/飯田橋駅 歩4分,東京メトロ東西線/神楽坂駅 歩10分,都営大江戸線/牛込神楽坂駅 歩12分,築7年,3階建,3階,13万円,-,13万円/13万円/-/-,1DK,33.2m
5206,ＪＲ山手線 目白駅 3階建 築46年,賃貸マンション,東京都新宿区下落合２,ＪＲ山手線/目白駅 歩5分,ＪＲ山手線/高田馬場駅 歩9分,東京メトロ副都心線/雑司が谷駅 歩14分,築46年,3階建,3階,9.6万円,3000円,9.6万円/9.6万円/-/-,1DK,32.29m
