,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
31,ソレイユ勝木,賃貸アパート,東京都渋谷区本町２,京王新線/初台駅 歩7分,都営大江戸線/西新宿五丁目駅 歩14分,京王新線/幡ヶ谷駅 歩17分,築50年,3階建,2階,4.9万円,-,4.9万円/4.9万円/-/-,ワンルーム,15m
32,メゾン・ド・アオキ,賃貸アパート,東京都渋谷区本町４,都営大江戸線/西新宿五丁目駅 歩10分,京王新線/初台駅 歩12分,東京メトロ丸ノ内線/中野新橋駅 歩13分,築53年,2階建,2階,5万円,-,5万円/5万円/-/-,1K,21m
33,京王新線 初台駅 2階建 築39年,賃貸アパート,東京都渋谷区本町４,京王新線/初台駅 歩14分,都営大江戸線/西新宿五丁目駅 歩10分,東京メトロ丸ノ内線/中野新橋駅 歩11分,築39年,2階建,2階,4.7万円,3000円,4.7万円/4.7万円/-/-,1K,20m
34,京王新線 初台駅 2階建 築39年,賃貸アパート,東京都渋谷区本町４,京王新線/初台駅 歩14分,都営大江戸線/西新宿五丁目駅 歩10分,東京メトロ丸ノ内線/中野新橋駅 歩11分,築39年,2階建,2階,5万円,3000円,5万円/5万円/-/-,1K,20m
35,ハイム宮坂,賃貸アパート,東京都渋谷区本町４,都営大江戸線/西新宿五丁目駅 歩10分,東京メトロ丸ノ内線/中野新橋駅 歩11分,京王新線/初台駅 歩14分,築39年,2階建,2階,4.7万円,3000円,4.7万円/4.7万円/-/-,1K,20m
36,都営大江戸線 西新宿五丁目駅 2階建 築39年,賃貸アパート,東京都渋谷区本町４,都営大江戸線/西新宿五丁目駅 歩10分,京王新線/初台駅 歩14分,東京メトロ丸ノ内線/中野新橋駅 歩11分,築39年,2階建,2階,4.7万円,3000円,4.7万円/4.7万円/-/-,1K,20m
37,京王新線 初台駅 3階建 築50年,賃貸アパート,東京都渋谷区本町２,京王新線/初台駅 歩8分,都営大江戸線/西新宿五丁目駅 歩9分,京王新線/幡ヶ谷駅 歩16分,築50年,3階建,2階,5万円,-,5万円/5万円/-/-,ワンルーム,15m
38,京王新線 幡ヶ谷駅 2階建 築44年,賃貸アパート,東京都渋谷区本町５,京王新線/幡ヶ谷駅 歩10分,都営大江戸線/西新宿五丁目駅 歩9分,京王新線/初台駅 歩14分,築44年,2階建,1階,3.8万円,12000円,-/-/2万円/-,1K,5.61m
39,第7宮廷マンション,賃貸マンション,東京都渋谷区千駄ヶ谷３,東京メトロ副都心線/北参道駅 歩1分,ＪＲ山手線/原宿駅 歩10分,ＪＲ総武線/千駄ヶ谷駅 歩10分,築49年,地下1地上13階建,2階,5.1万円,-,-/-/-/-,ワンルーム,5m
40,第7宮廷マンション,賃貸マンション,東京都渋谷区千駄ヶ谷３,東京メトロ副都心線/北参道駅 歩1分,ＪＲ山手線/原宿駅 歩10分,ＪＲ総武線/千駄ヶ谷駅 歩10分,築49年,地下1地上13階建,2階,5.4万円,-,-/-/-/-,ワンルーム,5m
41,第7宮廷マンション,賃貸マンション,東京都渋谷区千駄ヶ谷３,東京メトロ副都心線/北参道駅 歩1分,ＪＲ山手線/原宿駅 歩10分,ＪＲ総武線/千駄ヶ谷駅 歩10分,築49年,地下1地上13階建,3階,19.5万円,-,39万円/19.5万円/-/-,2LDK,61.56m
42,第7宮廷マンション,賃貸マンション,東京都渋谷区千駄ヶ谷３,東京メトロ副都心線/北参道駅 歩1分,ＪＲ山手線/原宿駅 歩10分,ＪＲ総武線/千駄ヶ谷駅 歩10分,築49年,地下1地上13階建,3階,19.5万円,-,39万円/19.5万円/-/-,2LDK,61.56m
43,みどり荘,賃貸アパート,東京都渋谷区笹塚２,京王線/笹塚駅 歩5分,東京メトロ丸ノ内線/方南町駅 歩18分,京王新線/幡ヶ谷駅 歩14分,築41年,2階建,2階,5万円,2000円,5万円/5万円/-/-,1DK,20m
