,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
447,東京メトロ日比谷線 広尾駅 8階建 築39年,賃貸マンション,東京都港区南麻布４,東京メトロ日比谷線/広尾駅 歩7分,ＪＲ山手線/恵比寿駅 歩20分,東京メトロ南北線/麻布十番駅 歩24分,築39年,8階建,1階,8.5万円,-,8.5万円/8.5万円/-/-,ワンルーム,25.11m
448,オリンピア高輪,賃貸マンション,東京都港区高輪２,都営浅草線/泉岳寺駅 歩1分,東京メトロ南北線/白金高輪駅 歩15分,ＪＲ山手線/品川駅 歩14分,築39年,9階建,2階,7.9万円,6000円,-/7.9万円/-/-,ワンルーム,24.85m
449,都営浅草線 泉岳寺駅 9階建 築39年,賃貸マンション,東京都港区高輪２,都営浅草線/泉岳寺駅 歩1分,ＪＲ山手線/品川駅 歩18分,東京メトロ南北線/白金高輪駅 歩15分,築39年,9階建,2階,7.9万円,6000円,-/7.9万円/-/-,ワンルーム,24.85m
450,田中ハウス,賃貸アパート,東京都港区南青山７,東京メトロ日比谷線/広尾駅 歩13分,東京メトロ銀座線/表参道駅 歩14分,ＪＲ山手線/渋谷駅 バス10分 (バス停)南青山７丁目 歩2分,築38年,2階建,1階,8.5万円,-,8.5万円/-/-/-,2K,24.47m
451,ＪＲ山手線 田町駅 5階建 築40年,賃貸マンション,東京都港区芝３,ＪＲ山手線/田町駅 歩6分,都営三田線/三田駅 歩5分,都営浅草線/三田駅 歩5分,築40年,5階建,3階,8万円,5000円,8万円/8万円/-/-,1K,24.4m
452,レジデンス白金,賃貸マンション,東京都港区白金１,東京メトロ南北線/白金高輪駅 歩5分,東京メトロ南北線/白金台駅 歩13分,都営浅草線/泉岳寺駅 歩19分,築22年,5階建,4階,8万円,5000円,8万円/8万円/-/-,1K,24.4m
453,プレール三田,賃貸マンション,東京都港区三田５,東京メトロ南北線/白金高輪駅 歩5分,ＪＲ山手線/田町駅 歩14分,京急本線/泉岳寺駅 歩15分,築19年,地下1地上6階建,3階,7.9万円,6000円,7.9万円/7.9万円/-/7.9万円,1K,23.49m
454,プレール三田,賃貸マンション,東京都港区三田５,東京メトロ南北線/白金高輪駅 歩5分,ＪＲ山手線/田町駅 歩14分,京急本線/泉岳寺駅 歩15分,築19年,地下1地上6階建,3階,7.9万円,6000円,7.9万円/7.9万円/-/7.9万円,1K,23.49m
455,プレール三田,賃貸マンション,東京都港区三田５,東京メトロ南北線/白金高輪駅 歩5分,ＪＲ山手線/田町駅 歩14分,京急本線/泉岳寺駅 歩15分,築19年,地下1地上6階建,1階,8.4万円,8000円,8.4万円/8.4万円/-/-,1K,23.49m
456,プレール三田,賃貸マンション,東京都港区三田５,東京メトロ南北線/白金高輪駅 歩5分,ＪＲ山手線/田町駅 歩14分,京急本線/泉岳寺駅 歩15分,築19年,地下1地上6階建,5階,8.7万円,10500円,-/8.7万円/-/-,1K,19.98m
457,プレール三田,賃貸マンション,東京都港区三田５,東京メトロ南北線/白金高輪駅 歩5分,ＪＲ山手線/田町駅 歩14分,京急本線/泉岳寺駅 歩15分,築19年,地下1地上6階建,3階,8.8万円,10500円,-/8.8万円/-/-,1K,19.71m
458,プレール・ドゥーク東京ベイ,賃貸マンション,東京都港区芝浦４,ＪＲ山手線/田町駅 歩14分,ＪＲ山手線/品川駅 歩16分,都営三田線/三田駅 歩16分,築15年,9階建,3階,7.7万円,8000円,-/7.7万円/-/-,1K,19.99m
459,プレール・ドゥーク東京ベイ,賃貸マンション,東京都港区芝浦４,ＪＲ山手線/田町駅 歩14分,ＪＲ山手線/品川駅 歩16分,都営三田線/三田駅 歩16分,築15年,9階建,8階,8万円,10000円,-/4万円/8万円/-,1K,23.33m
460,プレール・ドゥーク東京ベイ,賃貸マンション,東京都港区芝浦４,ＪＲ山手線/田町駅 歩14分,ＪＲ山手線/品川駅 歩16分,都営三田線/三田駅 歩16分,築15年,9階建,8階,8.3万円,10000円,-/4.15万円/8.3万円/-,1K,23.33m
461,プレール・ドゥーク東京ベイ,賃貸マンション,東京都港区芝浦４,ＪＲ山手線/田町駅 歩14分,ＪＲ山手線/品川駅 歩16分,都営三田線/三田駅 歩16分,築15年,9階建,2階,8.6万円,7000円,4.3万円/8.6万円/-/-,1K,23.33m
462,プレール・ドゥーク東京ベイ,賃貸マンション,東京都港区芝浦４,ＪＲ山手線/田町駅 歩14分,ＪＲ山手線/品川駅 歩16分,都営三田線/三田駅 歩16分,築15年,9階建,8階,8.5万円,10000円,-/8.5万円/-/-,1K,23.33m
463,プレール・ドゥーク東京ベイ,賃貸マンション,東京都港区芝浦４,ＪＲ山手線/田町駅 歩14分,ＪＲ山手線/品川駅 歩16分,都営三田線/三田駅 歩16分,築15年,9階建,9階,9.3万円,10500円,-/9.3万円/-/-,1K,19.99m
464,都営浅草線 高輪台駅 3階建 築12年,賃貸マンション,東京都港区高輪３,都営浅草線/高輪台駅 歩2分,ＪＲ山手線/品川駅 歩10分,ＪＲ山手線/五反田駅 歩13分,築12年,3階建,1階,8.5万円,-,8.5万円/8.5万円/-/-,ワンルーム,23m
465,ソレイユたかなわ,賃貸マンション,東京都港区高輪２,東京メトロ南北線/白金高輪駅 歩9分,都営三田線/白金台駅 歩10分,都営浅草線/高輪台駅 歩7分,築14年,5階建,4階,8.5万円,-,8.5万円/12.75万円/-/-,1K,21.59m
466,都営三田線 白金高輪駅 5階建 築14年,賃貸マンション,東京都港区高輪２,都営三田線/白金高輪駅 歩9分,東京メトロ南北線/白金台駅 歩10分,都営浅草線/高輪台駅 歩7分,築14年,5階建,4階,8.5万円,-,8.5万円/12.75万円/-/-,1K,22.6m
467,コートアネックス六本木,賃貸マンション,東京都港区西麻布３,東京メトロ日比谷線/六本木駅 歩8分,東京メトロ千代田線/乃木坂駅 歩14分,東京メトロ日比谷線/広尾駅 歩17分,築33年,地下1地上10階建,3階,8.5万円,-,17万円/-/-/-,ワンルーム,22.21m
468,ヒルトップ白金,賃貸マンション,東京都港区白金６,東京メトロ南北線/白金台駅 歩9分,東京メトロ南北線/白金高輪駅 歩13分,東京メトロ日比谷線/広尾駅 歩16分,築24年,4階建,2階,7.9万円,6000円,7.9万円/7.9万円/-/-,1DK,22.03m
469,東京メトロ南北線 白金台駅 4階建 築24年,賃貸マンション,東京都港区白金６,東京メトロ南北線/白金台駅 歩9分,都営三田線/白金高輪駅 歩12分,東京メトロ日比谷線/広尾駅 歩16分,築24年,4階建,1階,7.9万円,6000円,7.9万円/7.9万円/-/-,1DK,22.02m
470,ＪＲ山手線 田町駅 11階建 築17年,賃貸マンション,東京都港区芝浦２,ＪＲ山手線/田町駅 歩11分,都営三田線/三田駅 歩11分,新交通ゆりかもめ/芝浦ふ頭駅 歩10分,築17年,11階建,10階,7.9万円,6000円,7.9万円/7.9万円/-/7.9万円,1K,21.6m
471,ＪＲ山手線 田町駅 11階建 築17年,賃貸マンション,東京都港区芝浦２,ＪＲ山手線/田町駅 歩11分,都営三田線/三田駅 歩11分,新交通ゆりかもめ/芝浦ふ頭駅 歩10分,築17年,11階建,10階,7.9万円,6000円,7.9万円/7.9万円/-/7.9万円,1K,21.6m
472,ＪＲ山手線 田町駅 11階建 築17年,賃貸マンション,東京都港区芝浦２,ＪＲ山手線/田町駅 歩11分,都営三田線/三田駅 歩11分,新交通ゆりかもめ/芝浦ふ頭駅 歩10分,築17年,11階建,8階,8万円,6000円,8万円/8万円/-/-,1K,21.6m
473,ＪＲ山手線 田町駅 11階建 築17年,賃貸マンション,東京都港区芝浦２,ＪＲ山手線/田町駅 歩11分,都営三田線/三田駅 歩11分,新交通ゆりかもめ/芝浦ふ頭駅 歩10分,築17年,11階建,3階,8.8万円,4000円,8.8万円/-/-/8.8万円,1K,21.6m
474,三田YOマンション,賃貸マンション,東京都港区三田２,東京メトロ南北線/麻布十番駅 歩10分,ＪＲ山手線/田町駅 歩12分,東京メトロ南北線/白金高輪駅 歩10分,築47年,3階建,1階,8.5万円,-,17万円/8.5万円/-/-,1K,21.48m
475,ドルチェ芝浦ディマーレ,賃貸マンション,東京都港区芝浦１,ＪＲ山手線/田町駅 歩9分,都営浅草線/三田駅 歩7分,ＪＲ京浜東北線/浜松町駅 歩9分,築14年,10階建,7階,7.7万円,8000円,7.7万円/7.7万円/-/7.7万円,1K,21.28m
476,ドルチェ芝浦ディマーレ,賃貸マンション,東京都港区芝浦１,ＪＲ山手線/田町駅 歩9分,都営浅草線/三田駅 歩7分,ＪＲ京浜東北線/浜松町駅 歩9分,築14年,10階建,7階,7.7万円,8000円,7.7万円/7.7万円/-/7.7万円,1K,21.28m
