,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
2685,東京メトロ千代田線 町屋駅 11階建 築2年,賃貸マンション,東京都荒川区荒川６,東京メトロ千代田線/町屋駅 歩2分,京成本線/町屋駅 歩3分,都電荒川線/町屋駅前駅 歩2分,築2年,11階建,2階,9.1万円,10500円,-/-/9.1万円/-,1K,25.48m
2686,東京メトロ日比谷線 三ノ輪駅 8階建 新築,賃貸マンション,東京都荒川区東日暮里２,東京メトロ日比谷線/三ノ輪駅 歩6分,ＪＲ常磐線/三河島駅 歩17分,ＪＲ山手線/鶯谷駅 歩15分,新築,8階建,5階,8.6万円,16000円,-/-/-/-,1K,25.47m
2687,ジェノヴィア東日暮里グリーンヴェール,賃貸マンション,東京都荒川区東日暮里４,ＪＲ山手線/鶯谷駅 歩6分,ＪＲ山手線/日暮里駅 歩11分,東京メトロ日比谷線/入谷駅 歩11分,築2年,11階建,6階,8.6万円,16000円,-/-/8.6万円/-,1K,25.38m
2688,ＪＲ京浜東北線 日暮里駅 13階建 築10年,賃貸マンション,東京都荒川区東日暮里５,ＪＲ京浜東北線/日暮里駅 歩7分,ＪＲ山手線/鶯谷駅 歩6分,東京メトロ日比谷線/入谷駅 歩14分,築10年,13階建,7階,9.2万円,10500円,-/9.2万円/-/-,1K,26.2m
2689,ステージファースト東日暮里,賃貸マンション,東京都荒川区東日暮里５,ＪＲ京浜東北線/日暮里駅 歩7分,ＪＲ山手線/鶯谷駅 歩6分,東京メトロ日比谷線/入谷駅 歩14分,築10年,13階建,7階,9.2万円,10500円,-/9.2万円/-/-,1K,26.2m
2690,蛭田マンション,賃貸マンション,東京都荒川区西尾久１,ＪＲ山手線/田端駅 歩10分,ＪＲ高崎線/尾久駅 歩14分,日暮里・舎人ライナー/赤土小学校前駅 歩9分,築24年,3階建,3階,10.3万円,-,10.3万円/10.3万円/-/-,2LDK,48.19m
2691,ＪＲ山手線 田端駅 3階建 築24年,賃貸マンション,東京都荒川区東尾久１,ＪＲ山手線/田端駅 歩10分,日暮里・舎人ライナー/赤土小学校前駅 歩9分,ＪＲ高崎線/尾久駅 歩14分,築24年,3階建,3階,10.3万円,-,10.3万円/10.3万円/-/-,2LDK,48.19m
2692,日暮里・舎人ライナー 熊野前駅 7階建 築27年,賃貸マンション,東京都荒川区西尾久１,日暮里・舎人ライナー/熊野前駅 歩10分,ＪＲ高崎線/尾久駅 歩10分,ＪＲ山手線/田端駅 歩16分,築27年,7階建,6階,10万円,3000円,20万円/-/-/-,1LDK,47m
2693,ＪＲ山手線 日暮里駅 11階建 築34年,賃貸マンション,東京都荒川区東日暮里５,ＪＲ山手線/日暮里駅 歩3分,ＪＲ山手線/西日暮里駅 歩10分,東京メトロ千代田線/千駄木駅 歩15分,築34年,11階建,2階,9.3万円,10000円,9.3万円/9.3万円/-/-,1DK,31.42m
2694,ＪＲ山手線 日暮里駅 11階建 築34年,賃貸マンション,東京都荒川区東日暮里５,ＪＲ山手線/日暮里駅 歩3分,ＪＲ山手線/西日暮里駅 歩10分,東京メトロ千代田線/千駄木駅 歩15分,築34年,11階建,2階,9.3万円,11000円,9.3万円/9.3万円/-/-,1DK,31.42m
2695,ＪＲ山手線 日暮里駅 11階建 築34年,賃貸マンション,東京都荒川区東日暮里５,ＪＲ山手線/日暮里駅 歩3分,ＪＲ山手線/西日暮里駅 歩10分,東京メトロ千代田線/千駄木駅 歩15分,築34年,11階建,1階,11万円,8000円,11万円/11万円/-/-,3DK,45.82m
2696,ＪＲ山手線 日暮里駅 11階建 築34年,賃貸マンション,東京都荒川区東日暮里５,ＪＲ山手線/日暮里駅 歩3分,ＪＲ山手線/西日暮里駅 歩10分,東京メトロ千代田線/千駄木駅 歩15分,築34年,11階建,1階,11万円,8000円,11万円/11万円/-/-,3DK,45.82m
2697,東京メトロ日比谷線 三ノ輪駅 3階建 築73年,賃貸マンション,東京都荒川区南千住２,東京メトロ日比谷線/三ノ輪駅 歩5分,東京メトロ日比谷線/南千住駅 歩7分,ＪＲ常磐線/南千住駅 歩7分,築73年,3階建,3階,10万円,3000円,10万円/10万円/-/-,1LDK,45m
2698,東京メトロ千代田線 町屋駅 3階建 築24年,賃貸マンション,東京都荒川区町屋１,東京メトロ千代田線/町屋駅 歩5分,京成本線/町屋駅 歩5分,都電荒川線/町屋駅前駅 歩5分,築24年,3階建,3階,10万円,3000円,10万円/10万円/-/-,2LDK,43.74m
