,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
2168,東京メトロ銀座線 田原町駅 14階建 築11年,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,つくばエクスプレス/新御徒町駅 歩7分,築11年,14階建,12階,8.6万円,12000円,-/-/-/-,1K,25.5m
2169,東京メトロ銀座線 田原町駅 14階建 築11年,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,つくばエクスプレス/新御徒町駅 歩7分,築11年,14階建,12階,8.6万円,12000円,-/-/-/-,1K,25.5m
2170,東京メトロ銀座線 田原町駅 14階建 築11年,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,つくばエクスプレス/新御徒町駅 歩7分,築11年,14階建,11階,8.35万円,15000円,-/-/-/-,1K,25.5m
2171,東京メトロ銀座線 田原町駅 14階建 築11年,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,つくばエクスプレス/新御徒町駅 歩7分,築11年,14階建,11階,8.35万円,15000円,-/-/-/-,1K,25.5m
2172,東京メトロ銀座線 田原町駅 14階建 築11年,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,つくばエクスプレス/新御徒町駅 歩7分,築11年,14階建,13階,8.9万円,10000円,-/-/-/-,1K,25.5m
2173,東京メトロ銀座線 田原町駅 14階建 築11年,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,つくばエクスプレス/新御徒町駅 歩7分,築11年,14階建,13階,8.9万円,10000円,-/-/-/-,1K,25.5m
2174,東京メトロ銀座線 田原町駅 14階建 築11年,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,つくばエクスプレス/新御徒町駅 歩7分,築11年,14階建,14階,9万円,10000円,-/-/-/-,1K,25.5m
2175,東京メトロ銀座線 田原町駅 14階建 築11年,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,つくばエクスプレス/新御徒町駅 歩7分,築11年,14階建,4階,9万円,10000円,-/-/-/-,1K,25.5m
2176,東京メトロ銀座線 田原町駅 14階建 築11年,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,つくばエクスプレス/新御徒町駅 歩7分,築11年,14階建,2階,9.1万円,10500円,-/9.1万円/-/-,1K,25.5m
2177,東京メトロ銀座線 田原町駅 14階建 築11年,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,つくばエクスプレス/新御徒町駅 歩7分,築11年,14階建,2階,9.6万円,10500円,-/9.6万円/-/-,1K,25.5m
2178,東京メトロ銀座線 田原町駅 14階建 築11年,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩7分,東京メトロ銀座線/稲荷町駅 歩7分,つくばエクスプレス/新御徒町駅 歩7分,築11年,14階建,2階,9.6万円,10500円,-/9.6万円/-/-,1K,25.5m
2179,東京メトロ銀座線 田原町駅 15階建 築2年,賃貸マンション,東京都台東区寿２,東京メトロ銀座線/田原町駅 歩2分,つくばエクスプレス/浅草駅 歩9分,都営大江戸線/新御徒町駅 歩12分,築2年,15階建,6階,9.2万円,6000円,9.2万円/-/-/-,1K,25.19m
2180,東京メトロ銀座線 田原町駅 15階建 築2年,賃貸マンション,東京都台東区寿２,東京メトロ銀座線/田原町駅 歩2分,つくばエクスプレス/浅草駅 歩9分,都営大江戸線/新御徒町駅 歩12分,築2年,15階建,6階,9.2万円,6000円,9.2万円/-/-/-,1K,25.19m
2181,東京メトロ銀座線 田原町駅 13階建 新築,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩6分,東京メトロ銀座線/稲荷町駅 歩7分,都営大江戸線/新御徒町駅 歩8分,新築,13階建,5階,8.6万円,12000円,-/-/-/-,1K,25.09m
2182,東京メトロ銀座線 田原町駅 13階建 新築,賃貸マンション,東京都台東区元浅草４,東京メトロ銀座線/田原町駅 歩6分,東京メトロ銀座線/稲荷町駅 歩7分,都営大江戸線/新御徒町駅 歩8分,新築,13階建,5階,8.6万円,12000円,-/8.6万円/-/-,1K,25.09m
2183,ラフィスタ三ノ輪,賃貸マンション,東京都台東区三ノ輪１,東京メトロ日比谷線/三ノ輪駅 歩3分,ＪＲ山手線/鶯谷駅 歩19分,ＪＲ常磐線/南千住駅 歩16分,築4年,12階建,5階,8.35万円,15000円,8.35万円/8.35万円/-/-,1K,27.26m
2184,ラフィスタ三ノ輪,賃貸マンション,東京都台東区三ノ輪１,東京メトロ日比谷線/三ノ輪駅 歩3分,ＪＲ山手線/鶯谷駅 歩19分,ＪＲ常磐線/南千住駅 歩16分,築4年,12階建,5階,8.35万円,15000円,8.35万円/8.35万円/-/-,1K,27.26m
2185,ラフィスタ三ノ輪,賃貸マンション,東京都台東区三ノ輪１,東京メトロ日比谷線/三ノ輪駅 歩3分,ＪＲ山手線/鶯谷駅 歩19分,ＪＲ常磐線/南千住駅 歩16分,築4年,12階建,5階,8.85万円,15000円,-/-/-/-,1K,27.26m
2186,ラフィスタ三ノ輪,賃貸マンション,東京都台東区三ノ輪１,東京メトロ日比谷線/三ノ輪駅 歩3分,ＪＲ山手線/鶯谷駅 歩19分,ＪＲ常磐線/南千住駅 歩16分,築4年,12階建,5階,8.95万円,15000円,-/-/-/-,1K,27.26m
2187,ラフィスタ三ノ輪,賃貸マンション,東京都台東区三ノ輪１,東京メトロ日比谷線/三ノ輪駅 歩3分,ＪＲ山手線/鶯谷駅 歩19分,ＪＲ常磐線/南千住駅 歩16分,築4年,12階建,5階,8.95万円,15000円,-/-/-/-,1K,27.26m
2188,ラフィスタ三ノ輪,賃貸マンション,東京都台東区三ノ輪１,東京メトロ日比谷線/三ノ輪駅 歩3分,ＪＲ山手線/鶯谷駅 歩19分,ＪＲ常磐線/南千住駅 歩16分,築4年,12階建,7階,9.05万円,15000円,-/-/-/-,1K,27.26m
2189,東京メトロ日比谷線 三ノ輪駅 12階建 築4年,賃貸マンション,東京都台東区三ノ輪１,東京メトロ日比谷線/三ノ輪駅 歩3分,東京メトロ日比谷線/入谷駅 歩14分,都電荒川線/三ノ輪橋駅 歩9分,築4年,12階建,5階,8.35万円,15000円,-/-/-/-,1K,27.26m
2190,東京メトロ日比谷線 三ノ輪駅 12階建 築4年,賃貸マンション,東京都台東区三ノ輪１,東京メトロ日比谷線/三ノ輪駅 歩3分,東京メトロ日比谷線/入谷駅 歩14分,都電荒川線/三ノ輪橋駅 歩9分,築4年,12階建,5階,8.95万円,15000円,-/-/-/-,1K,27.26m
2191,東京メトロ日比谷線 三ノ輪駅 12階建 築4年,賃貸マンション,東京都台東区三ノ輪１,東京メトロ日比谷線/三ノ輪駅 歩3分,東京メトロ日比谷線/入谷駅 歩14分,都電荒川線/三ノ輪橋駅 歩9分,築4年,12階建,7階,9.05万円,15000円,-/-/-/-,1K,27.26m
2192,スカイノブレ御徒町,賃貸マンション,東京都台東区台東３,東京メトロ日比谷線/仲御徒町駅 歩3分,ＪＲ山手線/御徒町駅 歩6分,都営大江戸線/新御徒町駅 歩8分,築29年,9階建,4階,8.8万円,10500円,-/8.8万円/-/-,1K,25.52m
2193,都営大江戸線 蔵前駅 6階建 築53年,賃貸マンション,東京都台東区蔵前１,都営大江戸線/蔵前駅 歩6分,ＪＲ総武線/浅草橋駅 歩8分,都営大江戸線/両国駅 歩14分,築53年,6階建,3階,9万円,9000円,9万円/-/-/-,2LDK,45.6m
2194,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,2階,9.2万円,7000円,9.2万円/-/-/-,1K,26.55m
2195,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,3階,9.3万円,7000円,9.3万円/-/-/-,1K,26.55m
2196,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,4階,9.4万円,7000円,9.4万円/-/-/-,1K,26.55m
2197,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,5階,9.5万円,7000円,9.5万円/-/-/-,1K,26.55m
2198,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,6階,9.6万円,7000円,9.6万円/-/-/-,1K,26.55m
2199,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,7階,9.7万円,7000円,9.7万円/-/-/-,1K,26.55m
2200,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,8階,9.8万円,7000円,9.8万円/-/-/-,1K,26.55m
2201,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,9階,9.9万円,7000円,9.9万円/-/-/-,1K,26.55m
2202,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,10階,10万円,7000円,10万円/-/-/-,1K,26.55m
2203,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,2階,14万円,7000円,14万円/-/-/-,1LDK,40.83m
2204,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,3階,14.1万円,7000円,14.1万円/-/-/-,1LDK,40.83m
2205,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,4階,14.2万円,7000円,14.2万円/-/-/-,1LDK,40.83m
2206,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,5階,14.3万円,7000円,14.3万円/-/-/-,1LDK,40.83m
2207,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,6階,14.4万円,7000円,14.4万円/-/-/-,1LDK,40.83m
2208,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,7階,14.5万円,7000円,14.5万円/-/-/-,1LDK,40.83m
2209,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,8階,14.6万円,7000円,14.6万円/-/-/-,1LDK,40.83m
2210,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,9階,14.7万円,7000円,14.7万円/-/-/-,1LDK,40.83m
2211,グランドルチェ北上野,賃貸マンション,東京都台東区北上野２,東京メトロ日比谷線/入谷駅 歩3分,ＪＲ山手線/上野駅 歩15分,東京メトロ銀座線/稲荷町駅 歩13分,新築,10階建,10階,14.8万円,7000円,14.8万円/-/-/-,1LDK,40.83m
2212,コスモグラシア根岸,賃貸マンション,東京都台東区根岸５,東京メトロ日比谷線/三ノ輪駅 歩6分,東京メトロ日比谷線/入谷駅 歩8分,ＪＲ山手線/鶯谷駅 歩13分,新築,13階建,4階,8.9万円,10000円,8.9万円/-/-/-,1K,26.6m
2213,コスモグラシア根岸,賃貸マンション,東京都台東区根岸５,東京メトロ日比谷線/三ノ輪駅 歩6分,東京メトロ日比谷線/入谷駅 歩8分,ＪＲ山手線/鶯谷駅 歩13分,新築,13階建,3階,8.9万円,10000円,8.9万円/-/-/-,1K,26.6m
2214,コスモグラシア根岸,賃貸マンション,東京都台東区根岸５,東京メトロ日比谷線/三ノ輪駅 歩6分,東京メトロ日比谷線/入谷駅 歩8分,ＪＲ山手線/鶯谷駅 歩13分,新築,13階建,9階,8.9万円,10000円,8.9万円/-/-/-,1K,25.37m
2215,コスモグラシア根岸,賃貸マンション,東京都台東区根岸５,東京メトロ日比谷線/三ノ輪駅 歩6分,東京メトロ日比谷線/入谷駅 歩8分,ＪＲ山手線/鶯谷駅 歩13分,新築,13階建,9階,9万円,10000円,9万円/-/-/-,1K,25.37m
2216,コスモグラシア根岸,賃貸マンション,東京都台東区根岸５,東京メトロ日比谷線/三ノ輪駅 歩6分,東京メトロ日比谷線/入谷駅 歩8分,ＪＲ山手線/鶯谷駅 歩13分,新築,13階建,12階,9万円,10000円,9万円/-/-/-,1K,25.37m
2217,コスモグラシア根岸,賃貸マンション,東京都台東区根岸５,東京メトロ日比谷線/三ノ輪駅 歩6分,東京メトロ日比谷線/入谷駅 歩8分,ＪＲ山手線/鶯谷駅 歩13分,新築,13階建,11階,9.2万円,10000円,9.2万円/-/-/-,1K,25.37m
2218,コスモグラシア根岸,賃貸マンション,東京都台東区根岸５,東京メトロ日比谷線/三ノ輪駅 歩6分,東京メトロ日比谷線/入谷駅 歩8分,ＪＲ山手線/鶯谷駅 歩13分,新築,13階建,12階,9.3万円,10000円,9.3万円/-/-/-,1K,25.37m
2219,コスモグラシア根岸,賃貸マンション,東京都台東区根岸５,東京メトロ日比谷線/三ノ輪駅 歩6分,東京メトロ日比谷線/入谷駅 歩8分,ＪＲ山手線/鶯谷駅 歩13分,新築,13階建,12階,9.3万円,10000円,9.3万円/-/-/-,1K,25.37m
2220,コスモグラシア根岸,賃貸マンション,東京都台東区根岸５,東京メトロ日比谷線/三ノ輪駅 歩6分,東京メトロ日比谷線/入谷駅 歩8分,ＪＲ山手線/鶯谷駅 歩13分,新築,13階建,13階,9.4万円,10000円,9.4万円/-/-/-,1K,25.37m
2221,コスモグラシア根岸,賃貸マンション,東京都台東区根岸５,東京メトロ日比谷線/三ノ輪駅 歩6分,東京メトロ日比谷線/入谷駅 歩8分,ＪＲ山手線/鶯谷駅 歩13分,新築,13階建,2階,13.5万円,10000円,13.5万円/-/-/-,1LDK,40.77m
