,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
2654,要町,賃貸アパート,東京都豊島区池袋３,東京メトロ有楽町線/要町駅 歩5分,湘南新宿ライン宇須/池袋駅 歩9分,西武池袋線/椎名町駅 歩16分,築3年,2階建,2階,5.8万円,20000円,-/-/-/-,ワンルーム,7.1m
2655,要町,賃貸アパート,東京都豊島区池袋３,東京メトロ有楽町線/要町駅 歩5分,湘南新宿ライン宇須/池袋駅 歩9分,西武池袋線/椎名町駅 歩16分,築3年,2階建,2階,5.8万円,20000円,-/-/-/-,ワンルーム,7.1m
2656,要町,賃貸アパート,東京都豊島区池袋３,東京メトロ有楽町線/要町駅 歩5分,湘南新宿ライン宇須/池袋駅 歩9分,西武池袋線/椎名町駅 歩16分,築3年,2階建,2階,5.8万円,20000円,-/-/-/-,ワンルーム,7.1m
2657,菱和パレス目白台,賃貸マンション,東京都豊島区高田１,東京メトロ副都心線/雑司が谷駅 歩3分,ＪＲ山手線/目白駅 歩12分,東京メトロ有楽町線/東池袋駅 歩17分,築22年,6階建,2階,6.5万円,9500円,-/-/-/-,1K,20.05m
2658,菱和パレス目白台,賃貸マンション,東京都豊島区高田１,東京メトロ副都心線/雑司が谷駅 歩3分,ＪＲ山手線/目白駅 歩12分,東京メトロ有楽町線/東池袋駅 歩17分,築22年,6階建,5階,6.65万円,8500円,-/6.65万円/-/-,1K,20.05m
2659,菱和パレス目白台,賃貸マンション,東京都豊島区高田１,東京メトロ副都心線/雑司が谷駅 歩3分,ＪＲ山手線/目白駅 歩12分,東京メトロ有楽町線/東池袋駅 歩17分,築22年,6階建,6階,6.95万円,8500円,-/-/-/-,1K,20.35m
2660,東武東上線 下板橋駅 2階建 築9年,賃貸アパート,東京都豊島区池袋本町３,東武東上線/下板橋駅 歩9分,東武東上線/北池袋駅 歩10分,東武東上線/池袋駅 歩18分,築9年,2階建,2階,6.85万円,6000円,13.7万円/6.85万円/-/-,ワンルーム,18.2m
2661,東京メトロ有楽町線 千川駅 2階建 築14年,賃貸アパート,東京都豊島区千早３,東京メトロ有楽町線/千川駅 歩5分,西武池袋線/東長崎駅 歩13分,東京メトロ有楽町線/小竹向原駅 歩13分,築14年,2階建,1階,7.1万円,3500円,-/7.1万円/-/-,ワンルーム,17.75m
2662,シスナブ池袋本町,賃貸マンション,東京都豊島区池袋本町４,ＪＲ埼京線/板橋駅 歩5分,東武東上線/下板橋駅 歩5分,都営三田線/新板橋駅 歩7分,築21年,19階建,1階,6.5万円,10000円,6.5万円/-/-/-,1K,28.49m
2663,シスナブ池袋本町,賃貸マンション,東京都豊島区池袋本町４,ＪＲ埼京線/板橋駅 歩5分,東武東上線/下板橋駅 歩5分,都営三田線/新板橋駅 歩7分,築21年,19階建,3階,18.5万円,-,37万円/18.5万円/-/-,3LDK,71.05m
2664,シスナブ池袋本町,賃貸マンション,東京都豊島区池袋本町４,ＪＲ埼京線/板橋駅 歩5分,東武東上線/下板橋駅 歩5分,都営三田線/新板橋駅 歩7分,築21年,19階建,3階,18.5万円,10000円,37万円/18.5万円/-/-,3LDK,71.05m
2665,プチシャトー吉波,賃貸マンション,東京都豊島区南長崎３,西武池袋線/東長崎駅 歩7分,都営大江戸線/落合南長崎駅 歩7分,西武池袋線/椎名町駅 歩10分,築29年,4階建,2階,7.5万円,-,7.5万円/7.5万円/-/-,1LDK,46m
2666,西武池袋線 東長崎駅 3階建 築27年,賃貸マンション,東京都豊島区南長崎５,西武池袋線/東長崎駅 歩1分,都営大江戸線/落合南長崎駅 歩11分,東京メトロ有楽町線/千川駅 歩19分,築27年,3階建,3階,7.2万円,3000円,7.2万円/7.2万円/-/-,ワンルーム,35.8m
2667,西武池袋線 東長崎駅 3階建 築27年,賃貸マンション,東京都豊島区南長崎５,西武池袋線/東長崎駅 歩1分,都営大江戸線/落合南長崎駅 歩11分,東京メトロ有楽町線/千川駅 歩19分,築27年,3階建,3階,9.5万円,3000円,9.5万円/9.5万円/-/-,1DK,43.07m
