,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
11472,東武東上線 中板橋駅 12階建 新築,賃貸マンション,東京都板橋区中板橋,東武東上線/中板橋駅 歩3分,東武東上線/ときわ台駅 歩10分,都営三田線/板橋本町駅 歩15分,新築,12階建,7階,7.8万円,15000円,-/-/-/-,1K,25.12m
11473,東武東上線 中板橋駅 12階建 新築,賃貸マンション,東京都板橋区中板橋,東武東上線/中板橋駅 歩3分,東武東上線/ときわ台駅 歩10分,都営三田線/板橋本町駅 歩15分,新築,12階建,7階,8.1万円,15000円,-/-/-/-,1K,25.12m
11474,東武東上線 中板橋駅 11階建 築2年,賃貸マンション,東京都板橋区中板橋,東武東上線/中板橋駅 歩3分,東武東上線/大山駅 歩12分,都営三田線/板橋本町駅 歩15分,築2年,11階建,10階,7.85万円,15000円,-/-/-/-,1K,25.3m
11475,東武東上線 中板橋駅 11階建 築2年,賃貸マンション,東京都板橋区中板橋,東武東上線/中板橋駅 歩3分,東武東上線/大山駅 歩12分,都営三田線/板橋本町駅 歩15分,築2年,11階建,10階,7.85万円,15000円,-/-/-/-,1K,25.28m
11476,クレヴィスタ中板橋,賃貸マンション,東京都板橋区中板橋,東武東上線/中板橋駅 歩3分,東武東上線/大山駅 歩11分,都営三田線/板橋本町駅 歩13分,築2年,11階建,10階,7.85万円,15000円,-/-/-/-,1K,25.28m
11477,クレヴィスタ中板橋,賃貸マンション,東京都板橋区中板橋,東武東上線/中板橋駅 歩3分,東武東上線/大山駅 歩11分,都営三田線/板橋本町駅 歩13分,築2年,11階建,10階,7.85万円,15000円,-/-/-/-,1K,25.26m
11478,小茂根スカイハイツ,賃貸マンション,東京都板橋区小茂根２,東京メトロ有楽町線/小竹向原駅 歩7分,西武池袋線/江古田駅 歩20分,西武有楽町線/新桜台駅 歩15分,築39年,6階建,2階,9万円,4000円,9万円/-/-/-,2K,43.34m
11479,小茂根スカイハイツ,賃貸マンション,東京都板橋区小茂根２,東京メトロ有楽町線/小竹向原駅 歩7分,西武池袋線/江古田駅 歩20分,西武有楽町線/新桜台駅 歩15分,築39年,6階建,5階,12.5万円,4000円,12.5万円/-/-/-,2LDK,62.1m
11480,都営三田線 蓮根駅 3階建 築21年,賃貸マンション,東京都板橋区蓮根１,都営三田線/蓮根駅 歩9分,都営三田線/志村三丁目駅 歩13分,都営三田線/西台駅 歩15分,築21年,3階建,3階,9.4万円,-,9.4万円/9.4万円/-/-,2DK,59.44m
11481,レジデンスN,賃貸マンション,東京都板橋区蓮根１,都営三田線/蓮根駅 歩9分,都営三田線/志村三丁目駅 歩13分,都営三田線/西台駅 歩15分,築21年,3階建,2-3階,9.4万円,-,9.4万円/9.4万円/-/-,2DK,59.44m
11482,三高・サンスクエア,賃貸マンション,東京都板橋区徳丸６,東武東上線/東武練馬駅 歩15分,都営三田線/高島平駅 歩15分,都営三田線/西台駅 歩19分,築25年,4階建,1階,8.9万円,5000円,8.9万円/-/-/-,2LDK,57.47m
11483,東武東上線 東武練馬駅 4階建 築25年,賃貸マンション,東京都板橋区徳丸６,東武東上線/東武練馬駅 歩20分,都営三田線/西台駅 歩18分,都営三田線/蓮根駅 歩24分,築25年,4階建,1階,8.9万円,5000円,8.9万円/-/-/-,2LDK,57.47m
11484,都営三田線 新高島平駅 4階建 築29年,賃貸マンション,東京都板橋区高島平３,都営三田線/新高島平駅 歩10分,都営三田線/高島平駅 歩15分,東武東上線/下赤塚駅 歩28分,築29年,4階建,3階,8.9万円,5000円,17.8万円/-/-/-,3DK,55.44m
11485,ＫサンライトマンションII,賃貸マンション,東京都板橋区高島平３,都営三田線/新高島平駅 歩10分,都営三田線/高島平駅 歩13分,都営三田線/西高島平駅 歩17分,築29年,5階建,3階,8.9万円,5000円,17.8万円/-/-/-,3DK,55.44m
11486,都営三田線 本蓮沼駅 6階建 築34年,賃貸マンション,東京都板橋区小豆沢１,都営三田線/本蓮沼駅 歩9分,都営三田線/志村坂上駅 歩9分,都営三田線/志村三丁目駅 歩19分,築34年,6階建,3階,9.4万円,-,9.4万円/-/-/-,2DK,50.6m
11487,都営三田線 本蓮沼駅 6階建 築34年,賃貸マンション,東京都板橋区小豆沢１,都営三田線/本蓮沼駅 歩9分,都営三田線/志村坂上駅 歩9分,都営三田線/志村三丁目駅 歩19分,築34年,6階建,3階,9.6万円,-,9.6万円/-/-/-,2DK,50.6m
11488,小豆沢ハイツ,賃貸マンション,東京都板橋区小豆沢１,都営三田線/本蓮沼駅 歩9分,都営三田線/志村坂上駅 歩9分,ＪＲ埼京線/赤羽駅 歩25分,築34年,6階建,3階,9.4万円,-,9.4万円/-/-/-,2DK,50.6m
