,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
503,京成押上線 京成曳舟駅 10階建 築29年,賃貸マンション,東京都墨田区向島２,京成押上線/京成曳舟駅 歩3分,東武伊勢崎線/東向島駅 歩9分,東京メトロ半蔵門線/押上駅 歩12分,築29年,10階建,6階,5.9万円,5000円,-/-/-/-,ワンルーム,21.04m
504,キャッスルマンション曳船,賃貸マンション,東京都墨田区東向島２,東京メトロ半蔵門線/押上駅 歩13分,東武伊勢崎線/曳舟駅 歩4分,京成押上線/京成曳舟駅 歩3分,築29年,10階建,6階,5.9万円,5000円,-/-/-/-,ワンルーム,21.04m
505,キャッスルマンション曳舟,賃貸マンション,東京都墨田区向島２,京成押上線/京成曳舟駅 歩3分,東武伊勢崎線/東向島駅 歩9分,東京メトロ半蔵門線/押上駅 歩12分,築29年,10階建,6階,5.9万円,5000円,-/-/-/-,ワンルーム,21.04m
506,ネスト押上,賃貸マンション,東京都墨田区押上１,東京メトロ半蔵門線/押上駅 歩3分,東武伊勢崎線/とうきょうスカイツリー駅 歩10分,東武伊勢崎線/曳舟駅 歩14分,築27年,5階建,3階,5.9万円,5000円,-/5.9万円/-/-,ワンルーム,20.42m
507,京成押上線 押上駅 地下3地上3階建 築27年,賃貸マンション,東京都墨田区押上１,京成押上線/押上駅 歩3分,東武伊勢崎線/とうきょうスカイツリー駅 歩10分,東武伊勢崎線/曳舟駅 歩14分,築27年,地下3地上3階建,3階,5.9万円,5000円,-/5.9万円/-/-,ワンルーム,20.42m
508,スカイメゾン,賃貸アパート,東京都墨田区京島２,東京メトロ半蔵門線/押上駅 歩13分,京成押上線/京成曳舟駅 歩10分,東武亀戸線/小村井駅 歩9分,築3年,2階建,1階,6万円,4000円,-/-/-/-,1K,19.55m
509,都営浅草線 押上駅 2階建 築3年,賃貸アパート,東京都墨田区京島２,都営浅草線/押上駅 歩13分,京成押上線/京成曳舟駅 歩10分,東武伊勢崎線/曳舟駅 歩13分,築3年,2階建,1階,6万円,4000円,-/-/-/-,1K,19.55m
510,Ｇｌａｎｂｅｌｌ墨田　Ｉ,賃貸アパート,東京都墨田区墨田５,東武伊勢崎線/鐘ヶ淵駅 歩6分,京成本線/京成関屋駅 歩21分,東武伊勢崎線/堀切駅 歩17分,築2年,2階建,1階,6.1万円,3000円,6.1万円/6.1万円/-/-,1K,19.18m
511,グリーンプラザ東あずま,賃貸マンション,東京都墨田区立花３,東武亀戸線/東あずま駅 歩1分,東京メトロ半蔵門線/押上駅 歩23分,ＪＲ総武線/平井駅 歩11分,築27年,13階建,9階,6.1万円,3000円,6.1万円/6.1万円/-/-,ワンルーム,18.9m
512,プラティーク両国,賃貸マンション,東京都墨田区両国４,ＪＲ総武線/両国駅 歩5分,都営新宿線/森下駅 歩8分,東京メトロ半蔵門線/清澄白河駅 歩16分,築30年,6階建,1階,6万円,4000円,6万円/6万円/-/-,ワンルーム,14.89m
