,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
5651,中野東豊マンション,賃貸マンション,東京都中野区中央４,ＪＲ中央線/中野駅 歩7分,東京メトロ丸ノ内線/新中野駅 歩6分,東京メトロ丸ノ内線/東高円寺駅 歩13分,築49年,地下1地上11階建,6階,8.5万円,2000円,8.5万円/8.5万円/-/-,1LDK,32.06m
5652,ＪＲ中央線 中野駅 11階建 築49年,賃貸マンション,東京都中野区中央４,ＪＲ中央線/中野駅 歩7分,東京メトロ丸ノ内線/新中野駅 歩6分,東京メトロ丸ノ内線/東高円寺駅 歩15分,築49年,11階建,6階,8.5万円,2000円,8.5万円/8.5万円/-/-,1LDK,32.06m
5653,ホワイトアパートメント,賃貸マンション,東京都中野区上高田２,ＪＲ総武線/中野駅 歩13分,西武新宿線/新井薬師前駅 歩9分,西武新宿線/沼袋駅 歩18分,築46年,5階建,4階,8.5万円,2000円,8.5万円/-/-/-,2K,31.84m
5654,東京メトロ東西線 落合駅 2階建 築11年,賃貸アパート,東京都中野区東中野３,東京メトロ東西線/落合駅 歩6分,都営大江戸線/東中野駅 歩3分,都営大江戸線/中井駅 歩12分,築11年,2階建,1階,8.5万円,2000円,8.5万円/8.5万円/-/-,ワンルーム,16m
5655,リリック東中野,賃貸マンション,東京都中野区東中野１,ＪＲ中央線/東中野駅 歩2分,東京メトロ東西線/落合駅 歩8分,東京メトロ丸ノ内線/中野坂上駅 歩10分,築16年,3階建,2階,8.4万円,3000円,8.4万円/8.4万円/-/-,1K,25.56m
5656,リリック東中野,賃貸マンション,東京都中野区東中野１,ＪＲ中央線/東中野駅 歩2分,東京メトロ東西線/落合駅 歩8分,東京メトロ丸ノ内線/中野坂上駅 歩10分,築16年,3階建,2階,8.9万円,3000円,8.9万円/8.9万円/-/-,1K,30.53m
5657,メゾン・ド・ヴィラージュ,賃貸マンション,東京都中野区中央２,東京メトロ丸ノ内線/中野坂上駅 歩8分,東京メトロ丸ノ内線/新中野駅 歩10分,ＪＲ中央線/中野駅 歩11分,築28年,3階建,1階,8.2万円,5000円,8.2万円/-/-/-,ワンルーム,30.47m
5658,メゾン・ド・ヴィラージュ,賃貸マンション,東京都中野区中央２,東京メトロ丸ノ内線/中野坂上駅 歩8分,東京メトロ丸ノ内線/新中野駅 歩10分,ＪＲ中央線/中野駅 歩11分,築28年,3階建,1階,8.4万円,5000円,8.4万円/8.4万円/-/-,ワンルーム,30.47m
5659,東京メトロ東西線 落合駅 4階建 築48年,賃貸マンション,東京都中野区東中野４,東京メトロ東西線/落合駅 歩2分,都営大江戸線/中井駅 歩7分,都営大江戸線/東中野駅 歩7分,築48年,4階建,1階,8.5万円,2000円,8.5万円/-/-/-,1LDK,30m
5660,ＪＲ中央線 中野駅 2階建 築43年,賃貸アパート,東京都中野区中野１,ＪＲ中央線/中野駅 歩8分,東京メトロ丸ノ内線/新中野駅 歩13分,都営大江戸線/東中野駅 歩17分,築43年,2階建,1階,8.5万円,2000円,8.5万円/8.5万円/-/-,2K,29.7m
5661,都営大江戸線 西新宿五丁目駅 3階建 築7年,賃貸アパート,東京都中野区弥生町４,都営大江戸線/西新宿五丁目駅 歩15分,東京メトロ丸ノ内線/中野新橋駅 歩8分,東京メトロ丸ノ内線/新中野駅 歩17分,築7年,3階建,1階,8.4万円,3000円,8.4万円/8.4万円/-/-,1K,29.59m
5662,シャーメゾン弥生,賃貸マンション,東京都中野区弥生町４,東京メトロ丸ノ内線/中野新橋駅 歩7分,東京メトロ丸ノ内線/新中野駅 歩13分,ＪＲ中央線/中野駅 歩25分,築7年,3階建,1階,8.4万円,3000円,8.4万円/8.4万円/-/-,1K,29.59m
5663,シャーメゾン弥生,賃貸マンション,東京都中野区弥生町４,東京メトロ丸ノ内線/中野新橋駅 歩7分,東京メトロ丸ノ内線/新中野駅 歩13分,ＪＲ中央線/中野駅 歩25分,築7年,3階建,2階,8.4万円,3000円,8.4万円/8.4万円/-/-,1K,29.59m
5664,東京メトロ丸ノ内線 中野富士見町駅 4階建 築28年,賃貸マンション,東京都中野区弥生町５,東京メトロ丸ノ内線/中野富士見町駅 歩4分,東京メトロ丸ノ内線/新中野駅 歩16分,None,築28年,4階建,4階,8.4万円,3000円,8.4万円/-/-/-,1K,29.26m
5665,アイビー,賃貸マンション,東京都中野区松が丘２,西武新宿線/新井薬師前駅 歩9分,西武新宿線/沼袋駅 歩9分,ＪＲ総武線/中野駅 歩23分,築16年,3階建,2階,8.5万円,2000円,8.5万円/-/-/-,ワンルーム,28.08m
5666,アイビー,賃貸マンション,東京都中野区松が丘２,西武新宿線/新井薬師前駅 歩9分,西武新宿線/沼袋駅 歩9分,ＪＲ総武線/中野駅 歩23分,築16年,3階建,1階,8.5万円,2000円,8.5万円/-/-/-,ワンルーム,28.08m
5667,アイビー,賃貸マンション,東京都中野区松が丘２,西武新宿線/新井薬師前駅 歩9分,西武新宿線/沼袋駅 歩9分,ＪＲ総武線/中野駅 歩23分,築16年,3階建,2階,8.5万円,2500円,8.5万円/8.5万円/-/-,ワンルーム,28m
5668,コトー中野,賃貸マンション,東京都中野区中央２,東京メトロ丸ノ内線/中野坂上駅 歩9分,ＪＲ中央線/中野駅 歩18分,東京メトロ丸ノ内線/新中野駅 歩11分,築11年,3階建,2階,8.5万円,2000円,8.5万円/8.5万円/-/-,1K,28.01m
5669,西武新宿線 野方駅 3階建 築3年,賃貸マンション,東京都中野区野方６,西武新宿線/野方駅 歩2分,西武新宿線/都立家政駅 歩12分,西武新宿線/沼袋駅 歩15分,築3年,3階建,3階,8.3万円,4000円,-/4.15万円/-/-,1K,27.6m
5670,ベル　グラース,賃貸マンション,東京都中野区野方６,西武新宿線/野方駅 歩2分,西武新宿線/都立家政駅 歩11分,西武新宿線/沼袋駅 歩17分,築3年,3階建,3階,8.3万円,4000円,-/4.15万円/-/-,1K,27.6m
