,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
1952,サンライズ２（ＳＲ２）,賃貸マンション,東京都江東区北砂１,都営新宿線/住吉駅 歩15分,都営新宿線/西大島駅 歩15分,ＪＲ総武線/亀戸駅 歩25分,築10年,3階建,1階,7.6万円,2000円,7.6万円/7.6万円/-/-,1K,24.38m
1953,サンライズ２（ＳＲ２）,賃貸マンション,東京都江東区北砂１,都営新宿線/住吉駅 歩15分,都営新宿線/西大島駅 歩15分,ＪＲ総武線/亀戸駅 歩25分,築10年,3階建,2階,7.6万円,2000円,7.6万円/7.6万円/-/-,1K,24.38m
1954,東京メトロ半蔵門線 住吉駅 3階建 築10年,賃貸マンション,東京都江東区北砂１,東京メトロ半蔵門線/住吉駅 歩15分,都営新宿線/西大島駅 歩15分,東京メトロ東西線/東陽町駅 歩15分,築10年,3階建,1階,7.6万円,2000円,7.6万円/7.6万円/-/-,1K,24.38m
1955,ドムステラ,賃貸マンション,東京都江東区亀戸６,ＪＲ総武線/亀戸駅 歩1分,東武亀戸線/亀戸水神駅 歩12分,都営新宿線/西大島駅 歩16分,築13年,7階建,3階,7万円,8000円,7万円/-/-/-,1K,24.17m
1956,ドムステラ,賃貸マンション,東京都江東区亀戸６,ＪＲ総武線/亀戸駅 歩1分,東武亀戸線/亀戸水神駅 歩12分,都営新宿線/西大島駅 歩16分,築13年,7階建,5階,7.2万円,8000円,7.2万円/-/-/-,1K,24.17m
1957,ペルファヴォーレII,賃貸マンション,東京都江東区亀戸７,ＪＲ総武線/亀戸駅 歩10分,東武亀戸線/亀戸水神駅 歩6分,都営新宿線/大島駅 歩13分,築28年,3階建,2階,7.5万円,3000円,7.5万円/-/-/-,ワンルーム,24m
1958,Ｍ’ｓ　Ｆｌａｔ,賃貸マンション,東京都江東区亀戸６,ＪＲ総武線/亀戸駅 歩6分,東武亀戸線/亀戸駅 歩6分,東武亀戸線/亀戸水神駅 歩9分,築11年,3階建,2階,7.5万円,3000円,5万円/7.5万円/-/-,1K,23.14m
1959,スラージュマン,賃貸マンション,東京都江東区亀戸５,ＪＲ総武線/亀戸駅 歩8分,東武亀戸線/亀戸水神駅 歩4分,都営新宿線/大島駅 歩16分,築14年,地下3地上3階建,3階,7.6万円,2000円,7.6万円/7.6万円/-/-,1K,23.13m
1960,ＪＲ総武線 亀戸駅 3階建 築14年,賃貸マンション,東京都江東区亀戸５,ＪＲ総武線/亀戸駅 歩8分,東武亀戸線/亀戸水神駅 歩4分,東武亀戸線/東あずま駅 歩15分,築14年,3階建,3階,7.6万円,2000円,7.6万円/7.6万円/-/-,1K,23.13m
1961,パルコート,賃貸マンション,東京都江東区亀戸４,ＪＲ総武線/亀戸駅 歩7分,東武亀戸線/東あずま駅 歩14分,ＪＲ総武線/錦糸町駅 歩22分,築13年,10階建,9階,7.3万円,5000円,7.3万円/7.3万円/-/-,ワンルーム,23.06m
1962,ＪＲ総武線 亀戸駅 10階建 築13年,賃貸マンション,東京都江東区亀戸４,ＪＲ総武線/亀戸駅 歩7分,ＪＲ総武線/錦糸町駅 歩19分,都営新宿線/西大島駅 歩18分,築13年,10階建,9階,7.3万円,5000円,7.3万円/7.3万円/-/-,ワンルーム,23.06m
1963,ル・リオン　フレイエ南砂Ｅａｓｔ,賃貸マンション,東京都江東区東砂６,東京メトロ東西線/南砂町駅 歩12分,都営新宿線/東大島駅 歩27分,東京メトロ東西線/東陽町駅 歩34分,築10年,8階建,3階,7万円,8000円,-/7万円/7万円/-,1K,23.05m
