,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
13317,都営浅草線 馬込駅 3階建 築17年,賃貸マンション,東京都大田区東馬込１,都営浅草線/馬込駅 歩5分,ＪＲ横須賀線/西大井駅 歩16分,都営浅草線/中延駅 歩15分,築17年,3階建,2階,20万円,10000円,20万円/20万円/-/-,3LDK,79.3m
13318,ＨＦ馬込レジデンス,賃貸マンション,東京都大田区東馬込１,都営浅草線/馬込駅 歩5分,ＪＲ横須賀線/西大井駅 歩17分,都営浅草線/中延駅 歩15分,築17年,地下1地上3階建,2階,20万円,10000円,20万円/20万円/-/-,3LDK,79.3m
13319,東急池上線 千鳥町駅 8階建 築13年,賃貸マンション,東京都大田区千鳥１,東急池上線/千鳥町駅 歩2分,東急多摩川線/武蔵新田駅 歩7分,東急多摩川線/下丸子駅 歩8分,築13年,8階建,5階,20万円,10000円,20万円/20万円/-/-,3LDK,77.47m
13320,池上３丁目貸家,賃貸一戸建て,東京都大田区池上３,東急池上線/池上駅 歩7分,東急池上線/千鳥町駅 歩12分,都営浅草線/西馬込駅 歩15分,築7年,3階建,-,21万円,-,21万円/21万円/-/-,1SLDK,67.48m
13321,池上３丁目貸家,賃貸一戸建て,東京都大田区池上３,東急池上線/池上駅 歩7分,東急池上線/千鳥町駅 歩12分,都営浅草線/西馬込駅 歩15分,築7年,3階建,1階,21万円,-,21万円/21万円/-/-,1SLDK,67.48m
13322,池上３丁目貸家,賃貸一戸建て,東京都大田区池上３,東急池上線/池上駅 歩7分,東急池上線/千鳥町駅 歩12分,都営浅草線/西馬込駅 歩15分,築7年,3階建,1-3階,21万円,-,21万円/21万円/-/-,1SLDK,67.48m
13323,藤崎ビル,賃貸マンション,東京都大田区上池台１,東急池上線/長原駅 歩2分,東急大井町線/北千束駅 歩16分,東急大井町線/旗の台駅 歩8分,築20年,5階建,4階,19.8万円,13000円,39.6万円/19.8万円/-/-,3LDK,83.5m
13324,（仮）大田区大森西二丁目新築戸建Ｂ棟,賃貸一戸建て,東京都大田区大森西２,京急本線/平和島駅 歩5分,京急本線/大森町駅 歩6分,京急本線/大森海岸駅 歩17分,新築,2階建,2階,21.2万円,-,21.2万円/21.2万円/-/-,3LDK,79.49m
13325,東嶺町戸建,賃貸一戸建て,東京都大田区東嶺町,東急池上線/御嶽山駅 歩4分,東急池上線/久が原駅 歩6分,None,築16年,2階建,-,21.5万円,-,43万円/21.5万円/-/-,3LDK,84.46m
13326,パークコート山王二丁目,賃貸マンション,東京都大田区山王２,ＪＲ京浜東北線/大森駅 歩2分,京急本線/大森海岸駅 歩13分,ＪＲ横須賀線/西大井駅 歩22分,築8年,5階建,3階,21.5万円,-,43万円/21.5万円/-/-,2LDK,63.93m
13327,（仮）大田区大森西二丁目新築戸建Ａ棟,賃貸一戸建て,東京都大田区大森西２,京急本線/平和島駅 歩5分,京急本線/大森町駅 歩6分,京急本線/大森海岸駅 歩17分,新築,2階建,2階,21.7万円,-,21.7万円/21.7万円/-/-,3LDK,83.42m
13328,南馬込2丁目戸建,賃貸一戸建て,東京都大田区南馬込２,都営浅草線/西馬込駅 歩14分,都営浅草線/馬込駅 歩14分,ＪＲ京浜東北線/大森駅 歩20分,築33年,2階建,-,22万円,-,22万円/-/-/-,5SLDK,161.29m
13329,マンション雪谷テラス,賃貸マンション,東京都大田区東雪谷３,東急池上線/石川台駅 歩8分,東急池上線/洗足池駅 歩13分,東急池上線/雪が谷大塚駅 歩16分,築37年,3階建,3階,22万円,-,22万円/22万円/-/-,3LDK,116.25m
13330,大田区新蒲田3丁目戸建,賃貸一戸建て,東京都大田区新蒲田３,東急多摩川線/矢口渡駅 歩14分,ＪＲ京浜東北線/蒲田駅 歩18分,京急本線/雑色駅 歩16分,築13年,3階建,1階,22万円,-,22万円/22万円/-/-,3LDK,113.83m
13331,大田区新蒲田3丁目戸建,賃貸一戸建て,東京都大田区新蒲田３,東急多摩川線/矢口渡駅 歩14分,ＪＲ京浜東北線/蒲田駅 歩18分,京急本線/雑色駅 歩16分,築13年,3階建,1-3階,22万円,-,22万円/22万円/-/-,3LDK,113.83m
13332,ＪＲ京浜東北線 蒲田駅 3階建 築13年,賃貸一戸建て,東京都大田区新蒲田３,ＪＲ京浜東北線/蒲田駅 歩18分,東急多摩川線/矢口渡駅 歩14分,京急本線/雑色駅 歩16分,築13年,3階建,1階,22万円,-,22万円/22万円/-/-,3LDK,113.83m
13333,ＪＲ京浜東北線 蒲田駅 3階建 築13年,賃貸一戸建て,東京都大田区新蒲田３,ＪＲ京浜東北線/蒲田駅 歩18分,東急多摩川線/矢口渡駅 歩14分,京急本線/雑色駅 歩16分,築13年,3階建,1階,22万円,-,22万円/22万円/-/-,3LDK,113.83m
13334,アクシス池上,賃貸マンション,東京都大田区池上６,東急池上線/池上駅 歩3分,東急池上線/蓮沼駅 歩10分,東急多摩川線/矢口渡駅 歩12分,築28年,4階建,3階,22万円,-,22万円/22万円/-/-,2SLDK,100.75m
13335,池上６丁目マンション,賃貸マンション,東京都大田区池上６,東急池上線/池上駅 歩4分,東急多摩川線/矢口渡駅 歩15分,ＪＲ京浜東北線/蒲田駅 歩20分,築28年,4階建,3階,22万円,-,22万円/22万円/-/-,2SLDK,100.75m
13336,南雪谷４丁目戸建,賃貸一戸建て,東京都大田区南雪谷４,東急池上線/雪が谷大塚駅 歩3分,東急東横線/多摩川駅 歩22分,東急目黒線/多摩川駅 歩22分,築21年,3階建,-,22万円,-,44万円/22万円/-/-,3LDK,97.2m
13337,東急池上線 雪が谷大塚駅 3階建 築21年,賃貸一戸建て,東京都大田区南雪谷４,東急池上線/雪が谷大塚駅 歩3分,東急池上線/御嶽山駅 歩11分,東急池上線/石川台駅 歩12分,築21年,3階建,1-3階,22万円,-,44万円/22万円/-/-,3LDK,97.2m
13338,リュゼ　イシカワダイ,賃貸マンション,東京都大田区東雪谷３,東急池上線/石川台駅 歩7分,東急池上線/洗足池駅 歩10分,東急池上線/雪が谷大塚駅 歩14分,築23年,3階建,1階,22万円,-,44万円/-/-/-,3LDK,88.26m
13339,リュゼ　イシカワダイ,賃貸マンション,東京都大田区東雪谷３,東急池上線/石川台駅 歩7分,東急池上線/洗足池駅 歩10分,東急池上線/雪が谷大塚駅 歩14分,築23年,3階建,2階,22.7万円,-,45.4万円/-/-/-,3LDK,88.26m
13340,東急池上線 雪が谷大塚駅 2階建 築44年,賃貸一戸建て,東京都大田区田園調布１,東急池上線/雪が谷大塚駅 歩9分,東急東横線/多摩川駅 歩13分,None,築44年,2階建,-,22万円,-,22万円/22万円/-/-,3LDK,84.27m
13341,北千束１丁目戸建,賃貸一戸建て,東京都大田区北千束１,東急目黒線/大岡山駅 歩8分,東急目黒線/洗足駅 歩8分,東急大井町線/北千束駅 歩10分,築1年,2階建,1階,22万円,-,44万円/22万円/-/-,3LDK,74.13m
13342,ＪＲ京浜東北線 蒲田駅 12階建 築11年,賃貸マンション,東京都大田区西蒲田６,ＪＲ京浜東北線/蒲田駅 歩5分,東急池上線/蓮沼駅 歩5分,京急空港線/京急蒲田駅 歩13分,築11年,12階建,12階,21万円,10000円,21万円/-/-/-,2LDK,60.05m
13343,コートアネックス南馬込,賃貸マンション,東京都大田区南馬込５,都営浅草線/西馬込駅 歩3分,東急大井町線/荏原町駅 歩24分,ＪＲ京浜東北線/大森駅 バス12分 (バス停)万福寺前 歩6分,築29年,地下1地上5階建,5階,21.5万円,8000円,21.5万円/21.5万円/-/-,2LDK,78.71m
13344,コートアネックス南馬込,賃貸マンション,東京都大田区南馬込５,都営浅草線/西馬込駅 歩3分,東急大井町線/荏原町駅 歩24分,ＪＲ京浜東北線/大森駅 バス12分 (バス停)万福寺前 歩6分,築29年,地下1地上5階建,2階,22万円,10000円,22万円/22万円/-/-,3LDK,87.9m
13345,コートアネックス南馬込,賃貸マンション,東京都大田区南馬込５,都営浅草線/西馬込駅 歩3分,東急大井町線/荏原町駅 歩24分,ＪＲ京浜東北線/大森駅 バス12分 (バス停)万福寺前 歩6分,築29年,地下1地上5階建,3階,22.5万円,8000円,22.5万円/22.5万円/-/-,3LDK,87.9m
13346,都営浅草線 西馬込駅 5階建 築29年,賃貸マンション,東京都大田区南馬込５,都営浅草線/西馬込駅 歩4分,都営浅草線/馬込駅 歩13分,東急大井町線/荏原町駅 歩24分,築29年,5階建,5階,21.5万円,8000円,21.5万円/21.5万円/-/-,2LDK,78.71m
13347,都営浅草線 西馬込駅 5階建 築29年,賃貸マンション,東京都大田区南馬込５,都営浅草線/西馬込駅 歩4分,都営浅草線/馬込駅 歩13分,東急大井町線/荏原町駅 歩24分,築29年,5階建,3階,22.5万円,8000円,22.5万円/22.5万円/-/-,3LDK,87.9m
13348,アストラール　Ｂ棟,賃貸テラス・タウンハウス,東京都大田区南馬込４,都営浅草線/西馬込駅 歩14分,ＪＲ京浜東北線/大森駅 バス10分 (バス停)臼田坂下 歩3分,都営浅草線/馬込駅 バス15分 (バス停)三本松 歩5分,築29年,2階建,1階,21.5万円,10000円,21.5万円/21.5万円/-/-,4LDK,126.2m
13349,都営浅草線 西馬込駅 2階建 築29年,賃貸テラス・タウンハウス,東京都大田区南馬込４,都営浅草線/西馬込駅 歩13分,ＪＲ京浜東北線/大森駅 歩20分,東急池上線/池上駅 歩26分,築29年,2階建,-,21.5万円,10000円,21.5万円/21.5万円/-/-,4LDK,126.12m
13350,ＪＲ京浜東北線 大森駅 5階建 築26年,賃貸マンション,東京都大田区東馬込１,ＪＲ京浜東北線/大森駅 歩20分,都営浅草線/馬込駅 歩3分,ＪＲ横須賀線/西大井駅 歩15分,築26年,5階建,5階,22万円,5000円,44万円/22万円/-/-,4SLDK,123.01m
