,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
6383,ＪＲ京浜東北線 大井町駅 7階建 築12年,賃貸マンション,東京都品川区大井１,ＪＲ京浜東北線/大井町駅 歩5分,東急大井町線/大井町駅 歩5分,ＪＲ横須賀線/西大井駅 歩11分,築12年,7階建,7階,11万円,-,11万円/11万円/-/-,1DK,30.5m
6384,サンライズヒルズ,賃貸マンション,東京都品川区戸越４,ＪＲ山手線/大崎駅 歩15分,都営浅草線/戸越駅 歩7分,東急大井町線/戸越公園駅 歩6分,築9年,3階建,1階,11万円,-,13万円/22万円/-/-,ワンルーム,30.2m
6385,都営三田線 目黒駅 3階建 築28年,賃貸マンション,東京都品川区上大崎１,都営三田線/目黒駅 歩8分,東京メトロ南北線/白金台駅 歩8分,東急目黒線/目黒駅 歩8分,築28年,3階建,1階,10万円,10000円,10万円/10万円/-/-,1K,27.7m
6386,東急池上線 大崎広小路駅 3階建 築1年,賃貸マンション,東京都品川区大崎４,東急池上線/大崎広小路駅 歩4分,ＪＲ山手線/五反田駅 歩9分,ＪＲ山手線/大崎駅 歩10分,築1年,3階建,3階,10.5万円,5000円,10.5万円/10.5万円/-/-,1K,27.31m
6387,ヴィラプロスペリティー,賃貸マンション,東京都品川区北品川１,ＪＲ山手線/品川駅 歩14分,京急本線/北品川駅 歩5分,東京モノレール/天王洲アイル駅 歩16分,築9年,6階建,2階,10.4万円,6000円,-/10.4万円/-/-,1K,26.84m
6388,ＪＲ山手線 品川駅 6階建 築9年,賃貸マンション,東京都品川区北品川１,ＪＲ山手線/品川駅 歩14分,京急本線/北品川駅 歩5分,東京モノレール/天王洲アイル駅 歩16分,築9年,6階建,2階,10.4万円,6000円,-/10.4万円/-/-,1K,26.84m
6389,ＪＲ山手線 品川駅 6階建 築9年,賃貸マンション,東京都品川区北品川１,ＪＲ山手線/品川駅 歩14分,京急本線/北品川駅 歩5分,東京モノレール/天王洲アイル駅 歩16分,築9年,6階建,2階,10.4万円,6000円,-/10.4万円/-/-,1K,26.84m
6390,ＪＲ山手線 品川駅 6階建 築9年,賃貸マンション,東京都品川区北品川１,ＪＲ山手線/品川駅 歩14分,京急本線/北品川駅 歩5分,東京モノレール/天王洲アイル駅 歩16分,築9年,6階建,2階,10.4万円,6200円,-/10.4万円/-/-,1K,26.84m
6391,Brio武蔵小山,賃貸マンション,東京都品川区小山４,東急目黒線/武蔵小山駅 歩3分,東急目黒線/西小山駅 歩9分,東急池上線/戸越銀座駅 歩17分,築9年,9階建,4階,10.3万円,7000円,5.15万円/10.3万円/-/-,1K,26.34m
6392,Brio武蔵小山,賃貸マンション,東京都品川区小山４,東急目黒線/武蔵小山駅 歩3分,東急目黒線/西小山駅 歩9分,東急池上線/戸越銀座駅 歩17分,築9年,9階建,4階,10.7万円,7000円,5.35万円/10.7万円/-/-,1K,26.34m
