,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
35,第２三楽荘,賃貸アパート,東京都足立区本木２,東武伊勢崎線/西新井駅 歩17分,日暮里・舎人ライナー/高野駅 歩18分,東武大師線/大師前駅 歩17分,築43年,2階建,2階,3.2万円,-,3.2万円/3.2万円/-/-,1K,18m
36,第２三楽荘,賃貸アパート,東京都足立区本木２,東武伊勢崎線/西新井駅 歩17分,日暮里・舎人ライナー/高野駅 歩18分,東武大師線/大師前駅 歩17分,築43年,2階建,1階,5.3万円,-,5.3万円/5.3万円/-/-,2K,25m
37,第２三楽荘,賃貸アパート,東京都足立区本木２,東武伊勢崎線/西新井駅 歩17分,日暮里・舎人ライナー/高野駅 歩18分,東武大師線/大師前駅 歩17分,築43年,2階建,2階,5.3万円,-,5.3万円/5.3万円/-/-,2K,25m
38,小泉荘,賃貸アパート,東京都足立区梅島１,東武伊勢崎線/梅島駅 歩5分,東武伊勢崎線/西新井駅 歩16分,東武伊勢崎線/五反野駅 歩18分,築45年,2階建,2階,3万円,2000円,-/-/-/-,1K,25m
39,菅原荘,賃貸アパート,東京都足立区千住１,ＪＲ常磐線/北千住駅 歩3分,東京メトロ千代田線/北千住駅 歩3分,None,築52年,2階建,1階,3万円,2000円,3万円/3万円/-/-,ワンルーム,9.5m
40,菅原荘,賃貸アパート,東京都足立区千住１,ＪＲ常磐線/北千住駅 歩3分,東京メトロ千代田線/北千住駅 歩3分,None,築52年,2階建,2階,3.2万円,2000円,3.2万円/3.2万円/-/-,ワンルーム,13m
41,菅原荘,賃貸アパート,東京都足立区千住１,ＪＲ常磐線/北千住駅 歩3分,東京メトロ千代田線/北千住駅 歩3分,None,築52年,2階建,2階,3.2万円,2000円,3.2万円/1.6万円/-/-,ワンルーム,13m
42,栄荘,賃貸アパート,東京都足立区西新井本町５,東武大師線/大師前駅 歩9分,東武伊勢崎線/西新井駅 歩12分,日暮里・舎人ライナー/江北駅 歩19分,築38年,2階建,2階,3.1万円,1000円,3.1万円/3.1万円/-/-,1K,12.2m
43,福田荘,賃貸アパート,東京都足立区千住龍田町,東京メトロ日比谷線/北千住駅 歩13分,東京メトロ千代田線/北千住駅 歩13分,ＪＲ常磐線/北千住駅 歩13分,築31年,2階建,2階,3万円,3000円,-/-/-/-,ワンルーム,9.9m
44,福田荘,賃貸アパート,東京都足立区千住龍田町,東京メトロ日比谷線/北千住駅 歩13分,東京メトロ千代田線/北千住駅 歩13分,ＪＲ常磐線/北千住駅 歩13分,築31年,2階建,2階,3.2万円,3000円,-/-/-/-,ワンルーム,12.37m
45,福田荘,賃貸アパート,東京都足立区千住龍田町,東京メトロ日比谷線/北千住駅 歩13分,東京メトロ千代田線/北千住駅 歩13分,ＪＲ常磐線/北千住駅 歩13分,築31年,2階建,1階,3.9万円,3000円,-/-/-/-,ワンルーム,20m
46,日暮里・舎人ライナー 江北駅 2階建 築48年,賃貸アパート,東京都足立区扇３,日暮里・舎人ライナー/江北駅 歩9分,日暮里・舎人ライナー/高野駅 歩12分,東武大師線/大師前駅 歩15分,築48年,2階建,2階,3.3万円,-,3.3万円/3.3万円/-/-,1K,19.6m
47,鎌原アパート,賃貸アパート,東京都足立区千住河原町,東京メトロ千代田線/北千住駅 歩11分,京成本線/千住大橋駅 歩3分,None,築56年,2階建,2階,3.3万円,-,3.3万円/3.3万円/-/-,1K,18m
48,NOARK,賃貸アパート,東京都足立区西伊興２,日暮里・舎人ライナー/舎人公園駅 歩9分,None,None,築2年,2階建,1階,2.9万円,4000円,-/-/-/-,ワンルーム,7.09m
49,NOARK,賃貸アパート,東京都足立区西伊興２,日暮里・舎人ライナー/舎人公園駅 歩9分,None,None,築2年,2階建,2階,2.9万円,4000円,-/-/-/-,ワンルーム,7.09m
50,NOARK,賃貸アパート,東京都足立区西伊興２,日暮里・舎人ライナー/舎人公園駅 歩9分,None,None,築2年,2階建,2階,2.9万円,4000円,-/-/-/-,ワンルーム,7.09m
51,NOARK,賃貸アパート,東京都足立区西伊興２,日暮里・舎人ライナー/舎人公園駅 歩9分,None,None,築2年,2階建,2階,2.9万円,4000円,-/-/-/-,ワンルーム,7.09m
52,NOARK,賃貸アパート,東京都足立区西伊興２,日暮里・舎人ライナー/舎人公園駅 歩9分,None,None,築2年,2階建,2階,2.9万円,4000円,-/-/-/-,ワンルーム,7.09m
53,NOARK,賃貸アパート,東京都足立区西伊興２,日暮里・舎人ライナー/舎人公園駅 歩9分,None,None,築2年,2階建,1階,2.9万円,4000円,-/-/-/-,ワンルーム,7.09m
54,NOARK,賃貸アパート,東京都足立区西伊興２,日暮里・舎人ライナー/舎人公園駅 歩9分,None,None,築2年,2階建,1階,2.9万円,4000円,-/-/-/-,ワンルーム,7.09m
55,NOARK,賃貸アパート,東京都足立区西伊興２,日暮里・舎人ライナー/舎人公園駅 歩9分,None,None,築2年,2階建,2階,2.9万円,4000円,-/-/-/-,ワンルーム,7.09m
56,丸金荘８号棟,賃貸アパート,東京都足立区西保木間１,東武伊勢崎線/竹ノ塚駅 歩16分,東武伊勢崎線/谷塚駅 歩28分,つくばエクスプレス/六町駅 歩40分,築49年,2階建,2階,3.5万円,-,-/-/-/-,2K,35.33m
57,細井荘１号棟,賃貸アパート,東京都足立区西保木間１,東武伊勢崎線/竹ノ塚駅 バス8分 (バス停)保木間 歩3分,None,None,築50年,2階建,2階,3.5万円,-,-/-/-/-,2K,31.38m
58,第５７新井ビル,賃貸マンション,東京都足立区保塚町,つくばエクスプレス/六町駅 歩14分,東武伊勢崎線/竹ノ塚駅 歩31分,None,築31年,5階建,5階,3.5万円,-,3.5万円/-/-/-,ワンルーム,17.28m
59,第５７新井ビル,賃貸マンション,東京都足立区保塚町,つくばエクスプレス/六町駅 歩14分,東武伊勢崎線/竹ノ塚駅 歩31分,None,築31年,5階建,5階,3.5万円,-,3.5万円/-/-/-,ワンルーム,17.28m
60,第５７新井ビル,賃貸マンション,東京都足立区保塚町,つくばエクスプレス/六町駅 歩14分,東武伊勢崎線/竹ノ塚駅 歩31分,None,築31年,5階建,5階,3.5万円,-,3.5万円/-/-/-,ワンルーム,17.28m
61,第５７新井ビル,賃貸マンション,東京都足立区保塚町,つくばエクスプレス/六町駅 歩14分,東武伊勢崎線/竹ノ塚駅 歩31分,None,築31年,5階建,2階,4.8万円,-,4.8万円/-/-/-,1DK,27m
62,第一みどり荘,賃貸アパート,東京都足立区本木南町,日暮里・舎人ライナー/扇大橋駅 歩17分,日暮里・舎人ライナー/高野駅 歩20分,日暮里・舎人ライナー/足立小台駅 歩24分,築48年,2階建,1階,3.5万円,-,-/-/3.5万円/3.5万円,2K,25.9m
63,赤坂荘,賃貸アパート,東京都足立区新田３,東京メトロ南北線/王子神谷駅 歩14分,ＪＲ京浜東北線/王子駅 バス11分 (バス停)新田３丁目 歩2分,None,築40年,2階建,2階,3.5万円,-,3.5万円/3.5万円/-/-,1DK,23.14m
64,北谷荘,賃貸アパート,東京都足立区西新井５,日暮里・舎人ライナー/西新井大師西駅 歩12分,日暮里・舎人ライナー/谷在家駅 歩14分,東武大師線/大師前駅 歩12分,築51年,2階建,2階,3.4万円,1000円,3.4万円/3.4万円/-/-,2K,23.11m
65,諏訪荘,賃貸アパート,東京都足立区梅島３,東武伊勢崎線/西新井駅 歩10分,東武伊勢崎線/梅島駅 歩4分,None,築45年,2階建,2階,3.5万円,-,3.5万円/-/-/-,1K,20m
66,西山アパート,賃貸アパート,東京都足立区千住柳町,東京メトロ千代田線/北千住駅 歩13分,京成本線/千住大橋駅 歩17分,None,築51年,2階建,2階,3.5万円,-,3.5万円/-/-/-,1K,16.2m
67,東京メトロ日比谷線 北千住駅 2階建 築51年,賃貸アパート,東京都足立区千住柳町,東京メトロ日比谷線/北千住駅 歩15分,京成本線/千住大橋駅 歩18分,東武伊勢崎線/小菅駅 歩29分,築51年,2階建,2階,3.5万円,-,3.5万円/-/-/-,ワンルーム,16.5m
68,鈴木荘,賃貸アパート,東京都足立区西綾瀬２,東武伊勢崎線/五反野駅 歩1分,東武伊勢崎線/小菅駅 歩16分,東武伊勢崎線/梅島駅 歩17分,築43年,2階建,2階,3.5万円,-,3.5万円/3.5万円/-/-,1K,14.65m
69,沢井アパート,賃貸アパート,東京都足立区千住中居町,東京メトロ千代田線/北千住駅 歩6分,京成本線/千住大橋駅 歩14分,None,築43年,2階建,2階,3.3万円,2000円,3.3万円/3.3万円/-/-,ワンルーム,12m
70,吉沢荘,賃貸アパート,東京都足立区関原２,東武伊勢崎線/西新井駅 歩15分,東武大師線/大師前駅 歩19分,東武伊勢崎線/梅島駅 歩17分,築43年,2階建,2階,3.6万円,-,7.2万円/-/-/-,2K,25m
71,東武大師線 大師前駅 2階建 築38年,賃貸アパート,東京都足立区西新井６,東武大師線/大師前駅 歩6分,日暮里・舎人ライナー/西新井大師西駅 歩11分,日暮里・舎人ライナー/江北駅 歩14分,築38年,2階建,2階,3.5万円,1000円,3.5万円/3.5万円/-/-,2K,23m
72,ケンコーハウス,賃貸アパート,東京都足立区西新井６,東武大師線/大師前駅 歩6分,日暮里・舎人ライナー/西新井大師西駅 歩11分,日暮里・舎人ライナー/江北駅 歩14分,築38年,2階建,2階,3.5万円,1000円,3.5万円/3.5万円/-/-,2K,23m
73,ケンコーハウス,賃貸アパート,東京都足立区西新井６,東武大師線/大師前駅 歩6分,日暮里・舎人ライナー/西新井大師西駅 歩11分,日暮里・舎人ライナー/江北駅 歩14分,築38年,2階建,2階,3.6万円,-,3.6万円/3.6万円/-/-,2K,23m
