,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
35,ＪＲ山手線 目黒駅 2階建 築36年,賃貸アパート,東京都目黒区下目黒３,ＪＲ山手線/目黒駅 歩12分,東急目黒線/不動前駅 歩12分,None,築36年,2階建,2階,4.5万円,-,4.5万円/4.5万円/-/-,1K,19.8m
36,豊南荘,賃貸アパート,東京都目黒区大岡山１,東急目黒線/大岡山駅 歩7分,東急大井町線/大岡山駅 歩7分,東急東横線/都立大学駅 歩16分,築45年,2階建,2階,4.5万円,-,4.5万円/4.5万円/-/-,1K,18.22m
37,東急東横線 都立大学駅 2階建 築43年,賃貸アパート,東京都目黒区碑文谷１,東急東横線/都立大学駅 歩14分,東急目黒線/西小山駅 歩15分,東急東横線/学芸大学駅 歩16分,築43年,2階建,2階,4.5万円,-,4.5万円/4.5万円/-/-,1K,16.2m
38,東急東横線 都立大学駅 5階建 築34年,賃貸マンション,東京都目黒区平町１,東急東横線/都立大学駅 歩2分,東急東横線/学芸大学駅 歩20分,東急大井町線/緑が丘駅 歩20分,築34年,5階建,3階,4.5万円,-,-/-/-/-,ワンルーム,15.12m
39,東急田園都市線 池尻大橋駅 2階建 築41年,賃貸アパート,東京都目黒区東山１,東急田園都市線/池尻大橋駅 歩11分,東急東横線/祐天寺駅 歩12分,東急東横線/中目黒駅 歩11分,築41年,2階建,2階,3万円,15000円,-/3万円/-/-,ワンルーム,10m
40,京王井の頭線 駒場東大前駅 2階建 築51年,賃貸アパート,東京都目黒区駒場２,京王井の頭線/駒場東大前駅 歩5分,東急田園都市線/池尻大橋駅 歩12分,京王井の頭線/神泉駅 歩15分,築51年,2階建,2階,4.6万円,-,4.6万円/-/-/-,1K,23m
41,京王井の頭線 駒場東大前駅 2階建 築51年,賃貸アパート,東京都目黒区駒場２,京王井の頭線/駒場東大前駅 歩5分,東急田園都市線/池尻大橋駅 歩12分,京王井の頭線/神泉駅 歩15分,築51年,2階建,2階,4.6万円,-,4.6万円/-/-/-,1K,20m
42,小野アパート,賃貸アパート,東京都目黒区原町１,東急目黒線/西小山駅 歩4分,東急目黒線/武蔵小山駅 歩11分,東急東横線/学芸大学駅 歩26分,築43年,2階建,1階,4.7万円,-,4.7万円/4.7万円/-/-,1K,16.66m
43,東急目黒線 西小山駅 2階建 築43年,賃貸アパート,東京都目黒区原町１,東急目黒線/西小山駅 歩4分,東急目黒線/武蔵小山駅 歩13分,東急大井町線/北千束駅 歩20分,築43年,2階建,1階,4.7万円,-,4.7万円/4.7万円/-/-,1K,16.66m
44,東急大井町線 大岡山駅 2階建 築29年,賃貸アパート,東京都目黒区南３,東急大井町線/大岡山駅 歩8分,東急目黒線/洗足駅 歩10分,東急大井町線/緑が丘駅 歩19分,築29年,2階建,1階,4.9万円,-,4.9万円/-/-/-,ワンルーム,14.9m
45,緑が丘アパート,賃貸アパート,東京都目黒区緑が丘３,東急目黒線/大岡山駅 歩10分,東急大井町線/緑が丘駅 歩2分,東急目黒線/奥沢駅 歩10分,築53年,2階建,2階,5万円,-,5万円/5万円/-/-,1DK,26m
46,大成ビル,賃貸マンション,東京都目黒区五本木２,東急東横線/祐天寺駅 歩5分,東急東横線/学芸大学駅 歩11分,東急東横線/中目黒駅 歩18分,築47年,3階建,2階,5万円,-,5万円/5万円/-/-,1K,14m
47,大成ビル,賃貸マンション,東京都目黒区五本木２,東急東横線/祐天寺駅 歩5分,東急東横線/学芸大学駅 歩11分,東急東横線/中目黒駅 歩18分,築47年,3階建,3階,6万円,-,6万円/6万円/-/-,1K,21.53m
48,大成ビル,賃貸マンション,東京都目黒区五本木２,東急東横線/祐天寺駅 歩5分,東急東横線/学芸大学駅 歩11分,東急東横線/中目黒駅 歩18分,築47年,3階建,3階,6.5万円,-,6.5万円/6.5万円/-/-,1K,19m
49,コーポ川村,賃貸アパート,東京都目黒区柿の木坂２,東急東横線/都立大学駅 歩10分,東急東横線/学芸大学駅 歩18分,東急田園都市線/駒沢大学駅 歩23分,築39年,2階建,2階,5万円,-,5万円/5万円/-/-,1K,19.85m
50,東急東横線 都立大学駅 2階建 築39年,賃貸アパート,東京都目黒区柿の木坂２,東急東横線/都立大学駅 歩10分,東急目黒線/大岡山駅 歩29分,東急東横線/学芸大学駅 歩18分,築39年,2階建,2階,5万円,-,5万円/5万円/-/-,1K,19.85m
51,東急東横線 都立大学駅 2階建 築39年,賃貸アパート,東京都目黒区柿の木坂２,東急東横線/都立大学駅 歩10分,東急田園都市線/駒沢大学駅 歩23分,東急大井町線/自由が丘駅 歩28分,築39年,2階建,2階,5万円,-,5万円/5万円/-/-,1K,19.85m
52,コーポカワムラ,賃貸アパート,東京都目黒区柿の木坂２,東急東横線/都立大学駅 歩10分,東急東横線/学芸大学駅 歩18分,None,築54年,2階建,2階,5万円,-,5万円/5万円/-/-,1K,19.85m
53,東急田園都市線 駒沢大学駅 2階建 築29年,賃貸アパート,東京都目黒区東が丘１,東急田園都市線/駒沢大学駅 歩12分,None,None,築29年,2階建,1階,5万円,-,5万円/5万円/-/-,ワンルーム,17.35m
54,ハウスイワタニ,賃貸アパート,東京都目黒区南２,東急目黒線/大岡山駅 歩13分,東急東横線/都立大学駅 歩13分,東急目黒線/洗足駅 歩14分,築58年,2階建,2階,5万円,-,5万円/5万円/-/-,ワンルーム,17m
55,東京メトロ日比谷線 中目黒駅 2階建 築33年,賃貸アパート,東京都目黒区上目黒２,東京メトロ日比谷線/中目黒駅 歩7分,東急東横線/祐天寺駅 歩10分,ＪＲ山手線/恵比寿駅 歩18分,築33年,2階建,1階,5万円,-,10万円/-/-/-,1K,16.5m
56,ジョイフル目黒洗足,賃貸マンション,東京都目黒区洗足２,東急目黒線/洗足駅 歩2分,東急目黒線/西小山駅 歩10分,None,築34年,5階建,1階,4.9万円,1000円,4.9万円/-/-/-,ワンルーム,15.25m
57,ジョイフル目黒洗足,賃貸マンション,東京都目黒区洗足２,東急目黒線/洗足駅 歩2分,東急目黒線/西小山駅 歩10分,None,築34年,5階建,5階,5.8万円,3000円,5.8万円/5.8万円/-/-,ワンルーム,16.25m
58,ジョイフル目黒洗足,賃貸マンション,東京都目黒区洗足２,東急目黒線/洗足駅 歩2分,東急目黒線/西小山駅 歩10分,None,築34年,5階建,4階,6万円,3000円,-/-/-/-,ワンルーム,16.25m
59,メゾンドスリジェ,賃貸マンション,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩7分,東急東横線/学芸大学駅 歩12分,東急目黒線/大岡山駅 歩23分,築34年,5階建,5階,4.27万円,7300円,-/4.27万円/-/-,ワンルーム,13.71m
60,メゾンドスリジェ,賃貸マンション,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩7分,東急東横線/学芸大学駅 歩12分,東急目黒線/大岡山駅 歩23分,築34年,5階建,2階,5.2万円,4300円,5.2万円/-/-/-,ワンルーム,14.95m
61,メゾンドスリジェ,賃貸マンション,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩7分,東急東横線/学芸大学駅 歩12分,東急目黒線/大岡山駅 歩23分,築34年,5階建,3階,5.3万円,4300円,5.3万円/-/-/-,ワンルーム,14.95m
62,メゾンドスリジェ,賃貸マンション,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩7分,東急東横線/学芸大学駅 歩12分,東急目黒線/大岡山駅 歩23分,築34年,5階建,3階,5.37万円,4300円,-/-/-/-,ワンルーム,13m
63,メゾンドスリジェ,賃貸マンション,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩7分,東急東横線/学芸大学駅 歩12分,東急目黒線/大岡山駅 歩23分,築34年,5階建,5階,5.5万円,4300円,5.5万円/-/-/-,ワンルーム,12.96m
64,メゾンドスリジェ,賃貸マンション,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩7分,東急東横線/学芸大学駅 歩12分,東急目黒線/大岡山駅 歩23分,築34年,5階建,5階,5.6万円,4300円,5.6万円/-/-/-,ワンルーム,12.96m
65,東急東横線 都立大学駅 5階建 築35年,賃貸マンション,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩10分,東急東横線/学芸大学駅 歩11分,東急大井町線/大岡山駅 歩23分,築35年,5階建,5階,4.27万円,7300円,-/4.27万円/-/-,ワンルーム,13.71m
66,東急東横線 都立大学駅 5階建 築35年,賃貸マンション,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩10分,東急東横線/学芸大学駅 歩11分,東急大井町線/大岡山駅 歩23分,築35年,5階建,2階,5.2万円,4300円,5.2万円/-/-/-,ワンルーム,14.95m
67,東急東横線 都立大学駅 5階建 築35年,賃貸マンション,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩10分,東急東横線/学芸大学駅 歩11分,東急大井町線/大岡山駅 歩23分,築35年,5階建,3階,5.5万円,3000円,-/-/-/-,ワンルーム,13.71m
68,東急東横線 都立大学駅 5階建 築35年,賃貸マンション,東京都目黒区柿の木坂１,東急東横線/都立大学駅 歩10分,東急東横線/学芸大学駅 歩11分,東急大井町線/大岡山駅 歩23分,築35年,5階建,5階,5.6万円,4300円,5.6万円/-/-/-,ワンルーム,12.96m
69,エーデルワイス,賃貸アパート,東京都目黒区八雲４,東急東横線/都立大学駅 歩11分,東急東横線/自由が丘駅 バス19分 (バス停)東京医療センター 歩7分,None,築34年,2階建,1階,5万円,-,5万円/-/-/-,ワンルーム,14.42m
70,東急目黒線 大岡山駅 2階建 築48年,賃貸アパート,東京都目黒区大岡山１,東急目黒線/大岡山駅 歩5分,東急大井町線/緑が丘駅 歩10分,東急東横線/都立大学駅 歩15分,築48年,2階建,1階,5.1万円,-,5.1万円/5.1万円/-/-,2K,27.54m
71,東急目黒線 武蔵小山駅 2階建 築46年,賃貸アパート,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩9分,東急東横線/学芸大学駅 歩18分,東急目黒線/西小山駅 歩15分,築46年,2階建,2階,5万円,1000円,5万円/5万円/-/-,1K,23.16m
72,東急目黒線 武蔵小山駅 2階建 築46年,賃貸アパート,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩9分,東急東横線/学芸大学駅 歩18分,東急目黒線/西小山駅 歩15分,築46年,2階建,2階,5.1万円,-,5.1万円/5.1万円/-/-,1K,23m
73,東和ハイツ,賃貸アパート,東京都目黒区目黒本町３,東急目黒線/武蔵小山駅 歩8分,東急目黒線/西小山駅 歩14分,東急東横線/学芸大学駅 歩19分,築46年,2階建,2階,5万円,1000円,5万円/5万円/-/-,ワンルーム,19.25m
74,東急東横線 都立大学駅 2階建 築40年,賃貸アパート,東京都目黒区中根１,東急東横線/都立大学駅 歩6分,東急大井町線/自由が丘駅 歩15分,東急目黒線/奥沢駅 歩20分,築40年,2階建,1階,5万円,1000円,5万円/5万円/-/-,ワンルーム,17.5m
75,ジュネス大岡山,賃貸マンション,東京都目黒区南３,東急目黒線/大岡山駅 歩8分,東急東横線/都立大学駅 歩15分,None,築30年,3階建,3階,5.1万円,-,5.1万円/5.1万円/-/-,1K,17.01m
76,東急目黒線 西小山駅 4階建 築55年,賃貸マンション,東京都目黒区目黒本町４,東急目黒線/西小山駅 歩12分,東急目黒線/武蔵小山駅 歩14分,東急東横線/学芸大学駅 歩20分,築55年,4階建,2階,4.8万円,3000円,9.6万円/2.4万円/-/-,ワンルーム,16.2m
77,プラザドゥボーグ,賃貸アパート,東京都目黒区原町２,東急目黒線/西小山駅 歩9分,東急目黒線/洗足駅 歩8分,東急大井町線/北千束駅 歩13分,築29年,2階建,1階,5万円,1000円,-/-/-/-,ワンルーム,14.5m
78,カルタス21駒場東大前,賃貸アパート,東京都目黒区駒場１,京王井の頭線/駒場東大前駅 歩4分,京王井の頭線/神泉駅 歩14分,東急田園都市線/池尻大橋駅 歩13分,築31年,2階建,1階,4.8万円,3000円,-/-/-/-,ワンルーム,14m
79,京王井の頭線 駒場東大前駅 2階建 築31年,賃貸アパート,東京都目黒区駒場１,京王井の頭線/駒場東大前駅 歩4分,京王井の頭線/神泉駅 歩14分,東急田園都市線/池尻大橋駅 歩12分,築31年,2階建,1階,4.8万円,3000円,-/-/-/-,ワンルーム,14m
80,トップ自由が丘第三,賃貸マンション,東京都目黒区緑が丘１,東急大井町線/緑が丘駅 歩5分,東急東横線/自由が丘駅 歩12分,東急東横線/都立大学駅 歩12分,築34年,4階建,2階,5.1万円,-,5.1万円/5.1万円/-/-,ワンルーム,12.8m
81,トップ自由が丘第三,賃貸マンション,東京都目黒区緑が丘１,東急大井町線/緑が丘駅 歩5分,東急東横線/自由が丘駅 歩12分,東急東横線/都立大学駅 歩12分,築34年,4階建,4階,5.5万円,3000円,5.5万円/-/-/5.5万円,ワンルーム,12.11m
82,トップ自由が丘第三,賃貸マンション,東京都目黒区緑が丘１,東急大井町線/緑が丘駅 歩5分,東急東横線/自由が丘駅 歩12分,東急東横線/都立大学駅 歩12分,築34年,4階建,3階,5.5万円,7500円,5.5万円/-/-/-,ワンルーム,12.11m
83,メゾンベール,賃貸アパート,東京都目黒区緑が丘１,東急目黒線/大岡山駅 歩10分,東急東横線/自由が丘駅 歩18分,東急大井町線/緑が丘駅 歩3分,築32年,2階建,1階,5万円,1000円,10万円/5万円/-/-,ワンルーム,11.8m
84,メゾンベール,賃貸アパート,東京都目黒区緑が丘１,東急目黒線/大岡山駅 歩10分,東急東横線/自由が丘駅 歩18分,東急大井町線/緑が丘駅 歩3分,築32年,2階建,1階,5.3万円,2000円,-/-/-/-,ワンルーム,11.8m
85,ペンシルストライプハウスB,賃貸アパート,東京都目黒区目黒本町４,東急目黒線/武蔵小山駅 歩13分,東急目黒線/西小山駅 歩15分,東急東横線/学芸大学駅 歩15分,築39年,2階建,1階,5万円,1500円,-/-/-/-,1K,17.46m
86,東急目黒線 武蔵小山駅 2階建 築39年,賃貸アパート,東京都目黒区目黒本町４,東急目黒線/武蔵小山駅 歩15分,東急東横線/学芸大学駅 歩16分,ＪＲ山手線/目黒駅 バス15分 (バス停)区立七中前 歩3分,築39年,2階建,2階,5万円,1500円,-/-/-/-,1K,17.46m
87,ペンシルストライプハウス,賃貸アパート,東京都目黒区目黒本町４,東急目黒線/武蔵小山駅 歩15分,東急東横線/学芸大学駅 歩16分,東急目黒線/西小山駅 歩16分,築36年,2階建,2階,5万円,1500円,-/-/-/-,1K,17.46m
