,建物名,レンタルタイプ,住所,立地1,立地2,立地3,築年数,建物高さ,階,賃料,管理費,"敷/礼/保証/敷引,償却",間取り,専有面積
59,ジュエル浜離宮,賃貸マンション,東京都中央区築地５,都営大江戸線/築地市場駅 歩6分,都営大江戸線/汐留駅 歩7分,ＪＲ山手線/新橋駅 歩11分,築39年,10階建,8階,7万円,5000円,7万円/7万円/-/-,ワンルーム,18.31m
60,ジュエル浜離宮,賃貸マンション,東京都中央区築地５,都営大江戸線/築地市場駅 歩6分,都営大江戸線/汐留駅 歩7分,ＪＲ山手線/新橋駅 歩11分,築39年,10階建,10階,11万円,-,11万円/11万円/-/-,1DK,27.16m
61,都営大江戸線 月島駅 4階建 築54年,賃貸マンション,東京都中央区月島１,都営大江戸線/月島駅 歩3分,都営大江戸線/勝どき駅 歩9分,東京メトロ有楽町線/新富町駅 歩15分,築54年,4階建,4階,7万円,-,7万円/7万円/-/-,1DK,22.6m
62,都営大江戸線 勝どき駅 11階建 築43年,賃貸マンション,東京都中央区勝どき２,都営大江戸線/勝どき駅 歩3分,東京メトロ有楽町線/月島駅 歩9分,東京メトロ日比谷線/築地駅 歩16分,築43年,11階建,8階,7万円,-,14万円/7万円/-/-,ワンルーム,21.36m
63,エムハウス,賃貸アパート,東京都中央区佃１,東京メトロ有楽町線/月島駅 歩5分,都営大江戸線/勝どき駅 歩15分,東京メトロ東西線/門前仲町駅 歩20分,築29年,2階建,2階,6.9万円,1000円,6.9万円/6.9万円/-/-,1K,17m
64,ワコーレアルス日本橋,賃貸マンション,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩3分,東京メトロ日比谷線/茅場町駅 歩11分,都営浅草線/人形町駅 歩10分,築33年,8階建,2階,6.5万円,5000円,6.5万円/6.5万円/-/6.5万円,ワンルーム,16.26m
65,都営大江戸線 勝どき駅 11階建 築44年,賃貸マンション,東京都中央区勝どき２,都営大江戸線/勝どき駅 歩1分,東京メトロ有楽町線/月島駅 歩7分,東京メトロ日比谷線/築地駅 歩15分,築44年,11階建,11階,6.5万円,5000円,6.5万円/6.5万円/-/-,ワンルーム,14.77m
66,都営大江戸線 勝どき駅 11階建 築44年,賃貸マンション,東京都中央区勝どき２,都営大江戸線/勝どき駅 歩1分,東京メトロ有楽町線/月島駅 歩7分,東京メトロ日比谷線/築地駅 歩15分,築44年,11階建,11階,6.5万円,5000円,6.5万円/6.5万円/-/-,ワンルーム,14.77m
67,都営大江戸線 勝どき駅 11階建 築44年,賃貸マンション,東京都中央区勝どき２,都営大江戸線/勝どき駅 歩1分,東京メトロ有楽町線/月島駅 歩7分,東京メトロ日比谷線/築地駅 歩15分,築44年,11階建,3階,8万円,5000円,8万円/-/-/-,ワンルーム,14.77m
68,東京メトロ半蔵門線 水天宮前駅 8階建 築33年,賃貸マンション,東京都中央区日本橋箱崎町,東京メトロ半蔵門線/水天宮前駅 歩1分,東京メトロ日比谷線/人形町駅 歩9分,東京メトロ東西線/茅場町駅 歩8分,築33年,8階建,4階,6.5万円,5000円,6.5万円/-/-/3.5万円,ワンルーム,14.31m
69,RSKHarmony,賃貸マンション,東京都中央区新川１,ＪＲ京葉線/八丁堀駅 歩4分,東京メトロ日比谷線/茅場町駅 歩6分,東京メトロ半蔵門線/水天宮前駅 歩14分,築13年,4階建,3階,6.8万円,3000円,6.8万円/6.8万円/-/-,1K,17.82m
70,都営大江戸線 勝どき駅 5階建 築46年,賃貸マンション,東京都中央区勝どき３,都営大江戸線/勝どき駅 歩3分,都04/勝どき三 歩2分,None,築46年,5階建,5階,7.2万円,-,7.2万円/7.2万円/-/-,1DK,29.73m
71,日本橋ロイヤルプラザ,賃貸マンション,東京都中央区日本橋兜町,東京メトロ銀座線/日本橋駅 歩4分,東京メトロ日比谷線/八丁堀駅 歩8分,ＪＲ山手線/東京駅 歩10分,築38年,9階建,8階,6.2万円,10500円,-/6.2万円/-/-,1K,16.4m
72,東京メトロ有楽町線 新富町駅 8階建 築40年,賃貸マンション,東京都中央区明石町,東京メトロ有楽町線/新富町駅 歩9分,東京メトロ日比谷線/築地駅 歩8分,都営大江戸線/月島駅 歩10分,築40年,8階建,2階,6.8万円,5000円,-/-/-/-,ワンルーム,20.38m
73,東京メトロ有楽町線 新富町駅 8階建 築40年,賃貸マンション,東京都中央区明石町,東京メトロ有楽町線/新富町駅 歩9分,東京メトロ日比谷線/築地駅 歩8分,都営大江戸線/月島駅 歩10分,築40年,8階建,2階,6.8万円,5000円,-/-/-/-,ワンルーム,20.38m
74,ハイディアツ小平,賃貸マンション,東京都中央区月島３,東京メトロ有楽町線/月島駅 歩4分,都営大江戸線/勝どき駅 歩7分,ＪＲ京葉線/越中島駅 歩15分,築31年,4階建,3階,7万円,3000円,-/7万円/-/-,ワンルーム,17.24m
75,東京メトロ有楽町線 月島駅 4階建 築31年,賃貸マンション,東京都中央区月島３,東京メトロ有楽町線/月島駅 歩4分,都営大江戸線/勝どき駅 歩7分,ＪＲ京葉線/越中島駅 歩15分,築31年,4階建,3階,7万円,3000円,-/7万円/-/-,ワンルーム,17.24m
76,東京メトロ日比谷線 小伝馬町駅 4階建 築61年,賃貸マンション,東京都中央区東日本橋３,東京メトロ日比谷線/小伝馬町駅 歩4分,都営新宿線/馬喰横山駅 歩1分,都営浅草線/人形町駅 歩7分,築61年,4階建,2階,6.8万円,5000円,-/-/-/-,ワンルーム,12.26m
77,スカイコート日本橋浜町第2,賃貸マンション,東京都中央区日本橋浜町１,都営新宿線/浜町駅 歩3分,東京メトロ日比谷線/人形町駅 歩7分,都営浅草線/東日本橋駅 歩6分,築16年,11階建,5階,6.7万円,7000円,6.7万円/6.7万円/-/6.7万円,1K,18.03m
78,スカイコート日本橋浜町第2,賃貸マンション,東京都中央区日本橋浜町１,都営新宿線/浜町駅 歩3分,東京メトロ日比谷線/人形町駅 歩7分,都営浅草線/東日本橋駅 歩6分,築16年,11階建,3階,7.8万円,7000円,-/-/-/-,1K,20.71m
79,スカイコート日本橋浜町第2,賃貸マンション,東京都中央区日本橋浜町１,都営新宿線/浜町駅 歩3分,東京メトロ日比谷線/人形町駅 歩7分,都営浅草線/東日本橋駅 歩6分,築16年,11階建,8階,9万円,10500円,-/9万円/-/-,1K,21.72m
80,スカイコート日本橋浜町第2,賃貸マンション,東京都中央区日本橋浜町１,都営新宿線/浜町駅 歩3分,東京メトロ日比谷線/人形町駅 歩7分,都営浅草線/東日本橋駅 歩6分,築16年,11階建,8階,13.5万円,20000円,-/13.5万円/13.5万円/-,1LDK,43.33m
81,中銀ベル築地マンシオン,賃貸マンション,東京都中央区築地７,東京メトロ日比谷線/築地駅 歩4分,東京メトロ有楽町線/新富町駅 歩8分,都営大江戸線/築地市場駅 歩9分,築35年,10階建,7階,6.7万円,7000円,-/-/-/-,ワンルーム,17.92m
82,東京メトロ日比谷線 築地駅 10階建 築35年,賃貸マンション,東京都中央区築地７,東京メトロ日比谷線/築地駅 歩4分,東京メトロ有楽町線/新富町駅 歩8分,都営大江戸線/築地市場駅 歩9分,築35年,10階建,7階,6.7万円,7000円,-/6.7万円/-/-,ワンルーム,17.92m
83,明豊第一アパート,賃貸マンション,東京都中央区月島３,東京メトロ有楽町線/月島駅 歩5分,都営大江戸線/勝どき駅 歩8分,東京メトロ有楽町線/新富町駅 歩17分,築34年,3階建,2階,7.4万円,-,14.8万円/7.4万円/-/7.4万円,1DK,17.53m
84,東京メトロ有楽町線 月島駅 3階建 築34年,賃貸アパート,東京都中央区月島３,東京メトロ有楽町線/月島駅 歩2分,都営大江戸線/勝どき駅 歩5分,東京メトロ日比谷線/築地駅 歩13分,築34年,3階建,2階,7.4万円,-,14.8万円/7.4万円/-/-,1DK,17.53m
85,東京メトロ日比谷線 人形町駅 11階建 築39年,賃貸マンション,東京都中央区日本橋蛎殻町１,東京メトロ日比谷線/人形町駅 歩3分,東京メトロ半蔵門線/水天宮前駅 歩5分,東京メトロ東西線/茅場町駅 歩6分,築39年,11階建,7階,7.5万円,-,7.5万円/7.5万円/-/-,ワンルーム,18.6m
86,東京メトロ日比谷線 人形町駅 11階建 築39年,賃貸マンション,東京都中央区日本橋蛎殻町１,東京メトロ日比谷線/人形町駅 歩3分,東京メトロ半蔵門線/水天宮前駅 歩5分,東京メトロ東西線/茅場町駅 歩6分,築39年,11階建,8階,13.5万円,-,13.5万円/13.5万円/-/-,1LDK,38.21m
87,中銀日本橋マンシオン,賃貸マンション,東京都中央区日本橋蛎殻町１,都営浅草線/人形町駅 歩3分,東京メトロ半蔵門線/水天宮前駅 歩6分,都営浅草線/日本橋駅 歩10分,築39年,11階建,7階,7.5万円,-,7.5万円/-/-/-,ワンルーム,18.6m
88,中銀日本橋マンシオン,賃貸マンション,東京都中央区日本橋蛎殻町１,都営浅草線/人形町駅 歩3分,東京メトロ半蔵門線/水天宮前駅 歩6分,都営浅草線/日本橋駅 歩10分,築39年,11階建,8階,13.5万円,-,13.5万円/13.5万円/-/-,1LDK,38.21m
